source_code,source_concept_id,source_vocabulary_id,source_description,relationship_id,predicate_id,confidence,target_concept_id,target_concept_name,target_vocabulary_id,target_domain_id,decision,review_date,reviewer_name,reviewer_specialty,reviewer_comment,orcid_id,reviewer_affiliation_name,status,author_comment,change_required
EPAA_2NDMAX_CO_1HR,0,OMOP SDOH,2nd Highest 1-Hour Measurement Of Carbon Monoxide (CO) In The Year (PPM),Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
EPAA_2NDMAX_PM10_24HR,0,OMOP SDOH,2nd Highest 24-Hour Average Of PM10 In The Year,Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
EPAA_2NDMAX_SO2_24HR,0,OMOP SDOH,2nd Highest 24-Hour Average Of Sulfur Dioxide (So2) In The Year,Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
EPAA_2NDMAX_O3_1HR,0,OMOP SDOH,2nd Highest Daily Max 1-Hour Measurement Of Ozone (O3) In The Year (PPM),Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
EPAA_2NDMAX_CO_8HR,0,OMOP SDOH,2nd Highest Non-Overlapping 8-Hour Average Of Carbon Monoxide (CO) In The Year (PPM),Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
EPAA_4THMAX_O3_8HR,0,OMOP SDOH,4th Highest Daily Max 8-Hour Average Of Ozone (O3) In The Year (PPM),Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
EPAA_98PR_PM25_DAILY,0,OMOP SDOH,98th Percentile Of The Daily Average Measurements In The Year Of PM2.5 (Ug/M3),Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
EPAA_98PR_NO2_1HR,0,OMOP SDOH,98th Percentile Of The Daily Max 1-Hour Measurements Of Nitrogen Dioxide (No2) In The Year (Ppb),Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
EPAA_99PR_SO2_1HR,0,OMOP SDOH,99th Percentile Of The Daily Max 1-Hour Measurements Of Sulfur Dioxide (So2) In The Year,Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Access To Clean Water,Subsumes,skos:narrowMatch,1,1175489,Status of water supply systems Narrative,LOINC,Observation,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Access To Clean Water,Subsumes,skos:narrowMatch,1,1617546,Fresh water supply was treated prior to use,LOINC,Observation,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Access To Clean Water,Subsumes,skos:narrowMatch,1,4076357,Availability of workplace drinking water,SNOMED,Observation,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Access To Clean Water,Subsumes,skos:narrowMatch,1,4313344,Details of water supply,SNOMED,Observation,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Access To Clean Water,Subsumes,skos:narrowMatch,1,40765252,PhenX - environmental exposures - water source protocol 060201,LOINC,Measurement,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Access To Clean Water,Subsumes,skos:narrowMatch,1,40766442,What was the primary source of drinking water at your home [Next-of-kin],LOINC,Observation,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Access To Clean Water,Subsumes,skos:narrowMatch,1,40766443,What was the primary source of drinking water at your home if other [Next-of-kin],LOINC,Observation,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Access To Clean Water,Subsumes,skos:narrowMatch,1,40766453,What was your water supply [PEG],LOINC,Observation,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Access To Clean Water,Subsumes,skos:narrowMatch,1,40766454,What was your water supply if other [PEG],LOINC,Observation,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Access To Clean Water,Has relat context,skos:relatedMatch,1,4311456,Water supply insufficient,SNOMED,Observation,1,,,,,,,,,
