source_code,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,source_description,source_description_synonym,valid_start_date,decision,review_date,reviewer_name,reviewer_specialty,reviewer_comment,orcid_id,reviewer_affiliation_name,status,author_comment,change_required
GIS1000523,0,OMOP SDOH,Observation,ADI Item,% Civilian Labor Force Population Aged 16 Years And Older Who Are Unemployed,,2018-01-01,1,,,,,,,,,
GIS1001243,0,OMOP SDOH,Observation,ADI Item,% Employed Population Aged 16 Years Or Older In White-Collar Occupations,,2018-01-01,1,,,,,,,,,
GIS1001264,0,OMOP SDOH,Observation,ADI Item,% Families Below Federal Poverty Level,,2018-01-01,1,,,,,,,,,
GIS1001742,0,OMOP SDOH,Observation,ADI Item,% Households With More Than 1 Person Per Room,,2018-01-01,1,,,,,,,,,
GIS1001744,0,OMOP SDOH,Observation,ADI Item,% Households Without A Motor Vehicle,,2018-01-01,1,,,,,,,,,
GIS1001746,0,OMOP SDOH,Observation,ADI Item,% Households Without A Telephone,,2018-01-01,1,,,,,,,,,
GIS1002331,0,OMOP SDOH,Observation,ADI Item,% Occupied Housing Units Without Complete Plumbing,,2018-01-01,1,,,,,,,,,
GIS1002336,0,OMOP SDOH,Observation,ADI Item,% Owner-Occupied Housing Units,,2018-01-01,1,,,,,,,,,
GIS1002363,0,OMOP SDOH,Observation,ADI Item,% Population Aged 25 Years Or Older With At Least A High School Diploma,,2018-01-01,1,,,,,,,,,
GIS1002365,0,OMOP SDOH,Observation,ADI Item,% Population Aged 25 Years Or Older With Less Than 9 Years Of Education,,2018-01-01,1,,,,,,,,,
GIS1002367,0,OMOP SDOH,Observation,ADI Item,% Population Below 150% Of Federal Poverty Level,,2018-01-01,1,,,,,,,,,
GIS1002569,0,OMOP SDOH,Observation,ADI Item,% Single-Parent Households With Children Younger Than 18,,2018-01-01,1,,,,,,,,,
11.5.3,0,OMOP SDOH,Observation,SDG Indicator,"(a) Damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters",,2017-03-01,1,,,,,,,,,
12.3.1,0,OMOP SDOH,Observation,SDG Indicator,(a) Food loss index and (b) food waste index,,2017-03-01,1,,,,,,,,,
12.4.2,0,OMOP SDOH,Observation,SDG Indicator,"(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",,2017-03-01,1,,,,,,,,,
14.1.1,0,OMOP SDOH,Observation,SDG Indicator,(a) Index of coastal eutrophication; and (b) plastic debris density,,2017-03-01,1,,,,,,,,,
15.4.2,0,OMOP SDOH,Observation,SDG Indicator,(a) Mountain Green Cover Index and (b) proportion of degraded mountain land,,2017-03-01,1,,,,,,,,,
8.10.1,0,OMOP SDOH,Observation,SDG Indicator,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",,2017-03-01,1,,,,,,,,,
15.9.1,0,OMOP SDOH,Observation,SDG Indicator,(a) Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011?2020 in their national biodiversity strategy and action plans and the progress repor...,"(a) Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011?2020 in their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting",2017-03-01,1,,,,,,,,,
15.a.1,0,OMOP SDOH,Observation,SDG Indicator,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,,2017-03-01,1,,,,,,,,,
15.b.1,0,OMOP SDOH,Observation,SDG Indicator,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,,2017-03-01,1,,,,,,,,,
5.a.1,0,OMOP SDOH,Observation,SDG Indicator,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,2017-03-01,1,,,,,,,,,
geoid_coi,0,OMOP SDOH,Observation,COI Item,2010 Census Tract FIPS Codes,COI:geoid_coi,2020-01-01,1,,,,,,,,,
EPAA_2NDMAX_CO_1HR,0,OMOP SDOH,Observation,AHRQ Item,2nd Highest 1-Hour Measurement Of Carbon Monoxide (CO) In The Year (PPM),AHRQ:EPAA_2NDMAX_CO_1HR,2022-01-01,1,,,,,,,,,
EPAA_2NDMAX_PM10_24HR,0,OMOP SDOH,Observation,AHRQ Item,2nd Highest 24-Hour Average Of PM10 In The Year,AHRQ:EPAA_2NDMAX_PM10_24HR,2022-01-01,1,,,,,,,,,
EPAA_2NDMAX_SO2_24HR,0,OMOP SDOH,Observation,AHRQ Item,2nd Highest 24-Hour Average Of Sulfur Dioxide (So2) In The Year,AHRQ:EPAA_2NDMAX_SO2_24HR,2022-01-01,1,,,,,,,,,
EPAA_2NDMAX_O3_1HR,0,OMOP SDOH,Observation,AHRQ Item,2nd Highest Daily Max 1-Hour Measurement Of Ozone (O3) In The Year (PPM),AHRQ:EPAA_2NDMAX_O3_1HR,2022-01-01,1,,,,,,,,,
EPAA_2NDMAX_CO_8HR,0,OMOP SDOH,Observation,AHRQ Item,2nd Highest Non-Overlapping 8-Hour Average Of Carbon Monoxide (CO) In The Year (PPM),AHRQ:EPAA_2NDMAX_CO_8HR,2022-01-01,1,,,,,,,,,
EPAA_4THMAX_O3_8HR,0,OMOP SDOH,Observation,AHRQ Item,4th Highest Daily Max 8-Hour Average Of Ozone (O3) In The Year (PPM),AHRQ:EPAA_4THMAX_O3_8HR,2022-01-01,1,,,,,,,,,
EPAA_98PR_PM25_DAILY,0,OMOP SDOH,Observation,AHRQ Item,98th Percentile Of The Daily Average Measurements In The Year Of PM2.5 (Ug/M3),AHRQ:EPAA_98PR_PM25_DAILY,2022-01-01,1,,,,,,,,,
EPAA_98PR_NO2_1HR,0,OMOP SDOH,Observation,AHRQ Item,98th Percentile Of The Daily Max 1-Hour Measurements Of Nitrogen Dioxide (No2) In The Year (Ppb),AHRQ:EPAA_98PR_NO2_1HR,2022-01-01,1,,,,,,,,,
EPAA_99PR_SO2_1HR,0,OMOP SDOH,Observation,AHRQ Item,99th Percentile Of The Daily Max 1-Hour Measurements Of Sulfur Dioxide (So2) In The Year,AHRQ:EPAA_99PR_SO2_1HR,2022-01-01,1,,,,,,,,,
E_WLKIND,0,OMOP SDOH,Observation,EJI EBM Item,A Nationwide Geographic Data Resource That Ranks Block Groups According To Their Relative Walkability,EJI:E_WLKIND,2022-01-01,1,,,,,,,,,
GIS1000000,0,OMOP SDOH,Socioeconomic Feature,SDOH Determinant,Access To Clean Water,,2024-09-15,1,,,,,,,,,
574,0,OMOP SDOH,Socioeconomic Feature,SDOHO Construct,Access To Education,SDOHO:574; Access_to_Education,2022-01-01,1,,,,,,,,,
