ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
432532,2147483268,2,2
435991,2147483268,1,1
436583,2147483268,2,2
441840,2147483124,6,6
441840,2147483125,6,6
441840,2147483126,6,6
441840,2147483136,4,4
441840,2147483218,7,7
441840,2147483222,3,3
441840,2147483245,4,4
441840,2147483269,3,3
443359,2147483124,5,5
443359,2147483125,5,5
443359,2147483126,5,5
603070,2147483182,3,3
607855,2147483279,1,1
702837,2147483180,5,5
761103,2147483258,2,2
761103,2147483270,1,1
761103,2147483271,1,1
761103,2147483272,1,1
761103,2147483273,1,1
761103,2147483292,1,1
761103,2147483293,1,1
761697,2147483258,1,1
763082,2147483566,1,1
1001509,2147483081,3,3
1001510,2147483076,2,2
1002005,2147483076,2,2
1002203,2147483296,2,2
1002203,2147483298,2,2
1002203,2147483300,2,2
1002203,2147483301,2,2
1002203,2147483302,2,2
1002261,2147483297,1,1
1002261,2147483299,1,1
1002339,2147483296,1,1
1002339,2147483298,1,1
1002339,2147483300,1,1
1002339,2147483301,1,1
1002339,2147483302,1,1
1002447,2147483296,2,2
1002447,2147483297,2,2
1002447,2147483298,2,2
1002447,2147483299,2,2
1002447,2147483300,2,2
1002447,2147483301,2,2
1002447,2147483302,2,2
1002668,2147483130,3,3
1002668,2147483131,3,3
1002670,2147483076,3,3
1002689,2147483076,3,3
1002709,2147483234,3,3
1002709,2147483303,3,3
1002736,2147483081,4,4
1002749,2147483081,4,4
1002778,2147483081,3,3
1002795,2147483234,3,3
1002795,2147483303,3,3
1002868,2147483076,3,3
1002868,2147483081,3,3
1002868,2147483130,4,4
1002868,2147483131,4,4
1002868,2147483234,3,3
1002868,2147483303,3,3
1002928,2147483081,5,5
1002928,2147483130,5,5
1002928,2147483131,5,5
1002928,2147483234,4,4
1002928,2147483303,4,4
1002979,2147483127,3,3
1002979,2147483128,3,3
1002979,2147483129,3,3
1003014,2147483131,2,2
1003020,2147483130,2,2
1003043,2147483081,3,3
1003047,2147483081,3,3
1003047,2147483130,3,3
1003047,2147483234,3,3
1003047,2147483303,3,3
1003082,2147483076,4,4
1003082,2147483081,4,6
1003082,2147483130,4,6
1003082,2147483131,5,6
1003082,2147483234,4,5
1003082,2147483303,4,5
1003106,2147483127,3,3
1003106,2147483128,3,3
1003106,2147483129,3,3
1003128,2147483130,3,3
1003128,2147483131,3,3
1003132,2147483130,4,5
1003132,2147483131,4,5
1003157,2147483076,5,5
1003157,2147483081,5,7
1003157,2147483127,5,5
1003157,2147483128,5,5
1003157,2147483129,5,5
1003157,2147483130,5,7
1003157,2147483131,5,7
1003157,2147483234,5,6
1003157,2147483303,5,6
1003157,2147483626,5,5
1003157,2147483640,5,5
1003219,2147483234,3,3
1003219,2147483303,3,3
1003302,2147483127,3,3
1003302,2147483128,3,3
1003302,2147483129,3,3
1003306,2147483081,3,3
1003306,2147483130,3,3
1003306,2147483234,3,3
1003306,2147483303,3,3
1003312,2147483234,2,2
1003312,2147483303,2,2
1003380,2147483626,3,3
1003380,2147483640,3,3
1003383,2147483076,3,3
1003398,2147483081,3,3
1003402,2147483626,4,4
1003402,2147483640,4,4
1003525,2147483076,5,5
1003530,2147483130,3,3
1003530,2147483131,3,3
1003570,2147483234,4,4
1003570,2147483303,4,4
1003658,2147483081,4,4
1003658,2147483130,4,4
1003658,2147483131,4,4
1003658,2147483234,3,3
1003658,2147483303,3,3
1003669,2147483081,3,3
1003799,2147483076,3,3
1003815,2147483640,2,2
1003901,2147483076,4,4
1003929,2147483130,3,3
1003935,2147483640,3,3
1003960,2147483081,4,5
1003968,2147483127,2,2
1003968,2147483128,2,2
1003968,2147483129,2,2
1004025,2147483127,4,4
1004025,2147483128,4,4
1004025,2147483129,4,4
1004040,2147483131,3,3
1004059,2147483081,2,2
1004118,2147483512,3,3
1004118,2147483565,3,3
1004118,2147483634,3,3
1004118,2147483637,3,3
1004140,2147483127,3,3
1004140,2147483128,3,3
1004140,2147483129,3,3
1004141,2147483076,2,2
1176149,2147483081,2,2
1176149,2147483130,2,2
1176149,2147483234,2,2
1176149,2147483303,2,2
1616286,2147483076,2,2
1616328,2147483131,2,2
1616333,2147483076,4,4
1616370,2147483076,2,2
1616510,2147483282,1,1
1616594,2147483532,2,2
1616957,2147483283,1,1
1617032,2147483076,3,3
1617080,2147483076,2,2
1617085,2147483289,1,1
1617262,2147483133,2,2
1617262,2147483280,2,2
1617262,2147483281,2,2
1617262,2147483282,2,2
1617262,2147483283,2,2
1617262,2147483284,2,2
1617262,2147483286,2,2
1617262,2147483288,2,2
1617262,2147483289,2,2
1617262,2147483290,2,2
1617512,2147483288,1,1
1617705,2147483076,2,2
1618095,2147483076,3,3
1618391,2147483076,3,3
1618391,2147483081,3,3
1618391,2147483130,3,4
1618391,2147483234,3,3
1618391,2147483303,3,3
