concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2052494433,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Observation,OMOP SDOH,SDG Indicator,S,1.5.1,2017-03-01,2099-12-31,
2052494434,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Observation,OMOP SDOH,SDG Indicator,S,12.8.1,2017-03-01,2099-12-31,
2052494435,"Minority (Hispanic Or Latino (Of Any Race); Black And African American, Not Hispanic Or Latino; American Indian And Alaska Native, Not Hispanic Or Latino; Asian, Not Hispanic Or Latino; Native Hawaiian And Other Pacific Islander, Not Hispanic Or Latino...",Observation,OMOP SDOH,SVI Item,S,E_MINRTY,2018-01-01,2099-12-31,
2052494436,Proportion of traded wildlife that was poached or illicitly trafficked,Observation,OMOP SDOH,SDG Indicator,S,15.7.1,2017-03-01,2099-12-31,
2052494437,Direct economic loss attributed to disasters in relation to global gross domestic product (GDP),Observation,OMOP SDOH,SDG Indicator,S,1.5.2,2017-03-01,2099-12-31,
2052494438,Installed renewable energy-generating capacity in developing countries (in watts per capita),Observation,OMOP SDOH,SDG Indicator,S,12.A.1,2017-03-01,2099-12-31,
2052494439,"Material footprint, material footprint per capita, and material footprint per GDP",Observation,OMOP SDOH,SDG Indicator,S,12.2.1,2017-03-01,2099-12-31,
2052494440,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Observation,OMOP SDOH,SDG Indicator,S,11.5.1,2017-03-01,2099-12-31,
2052494441,Proportion of members and voting rights of developing countries in international organizations,Observation,OMOP SDOH,SDG Indicator,S,10.6.1,2017-03-01,2099-12-31,
2052494442,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Observation,OMOP SDOH,SDG Indicator,S,10.3.1,2017-03-01,2099-12-31,
2052494443,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,Observation,OMOP SDOH,SDG Indicator,S,15.A.1,2017-03-01,2099-12-31,
2052494444,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Observation,OMOP SDOH,SDG Indicator,S,13.3.1,2017-03-01,2099-12-31,
2052494445,Vinyl bromide,Observation,OMOP Exposome,Substance,S,593-60-2,2014-12-24,2099-12-31,
2052494446,Viperotoxin,Observation,OMOP Exposome,Substance,S,GIS1010217,2024-09-14,2099-12-31,
2052494447,Vipoxin,Observation,OMOP Exposome,Substance,S,GIS1010224,2024-09-14,2099-12-31,
2052494448,Vitamin K-dependent protein C,Observation,OMOP Exposome,Substance,S,P04070,2024-09-14,2099-12-31,
2052494449,Zinc pyrophosphate,Observation,OMOP Exposome,Substance,S,7446-26-6,2014-12-24,2099-12-31,
2052494450,Zinc selenide,Observation,OMOP Exposome,Substance,S,1315-09-9,2014-12-24,2099-12-31,
2052494451,Zinc silicate,Observation,OMOP Exposome,Substance,S,13597-65-4,2014-12-24,2099-12-31,
2052494452,Zinc silicofluoride,Observation,OMOP Exposome,Substance,S,16871-71-9,2014-12-24,2099-12-31,
2052494453,Zinc stearate,Observation,OMOP Exposome,Substance,S,557-05-1,2014-12-24,2099-12-31,
2052494454,Zinc telluride,Observation,OMOP Exposome,Substance,S,1315-11-3,2014-12-24,2099-12-31,
2052494455,Zinc trifluoromethanesulfonate,Observation,OMOP Exposome,Substance,S,54010-75-2,2014-12-24,2099-12-31,
2052494456,Zinc(II) gluconate,Observation,OMOP Exposome,Substance,S,4468-02-04,2014-12-24,2099-12-31,
2052494457,Zirconium(IV) bromide,Observation,OMOP Exposome,Substance,S,1377-25-8,2014-12-24,2099-12-31,
2052494458,"Tryptophan 2,3-dioxygenase",Observation,OMOP Exposome,Substance,S,P48775,2024-09-14,2099-12-31,
2052494459,"Tryptophan--tRNA ligase, cytoplasmic",Observation,OMOP Exposome,Substance,S,P23381,2024-09-14,2099-12-31,
2052494460,"Tryptophan--tRNA ligase, mitochondrial",Observation,OMOP Exposome,Substance,S,Q9UGM6,2024-09-14,2099-12-31,
2052494461,Tubulin--tyrosine ligase,Observation,OMOP Exposome,Substance,S,Q8NG68,2024-09-14,2099-12-31,
2052494462,Tungsten(V) bromide,Observation,OMOP Exposome,Substance,S,13470-11-6,2014-12-24,2099-12-31,
2052494463,Tungsten(VI) oxytetrabromide,Observation,OMOP Exposome,Substance,S,13520-77-9,2014-12-24,2099-12-31,
2052494464,Tutin,Observation,OMOP Exposome,Substance,S,2571-22-4,2014-12-24,2099-12-31,
2052494465,Vanadium carbide,Observation,OMOP Exposome,Substance,S,12070-10-9,2014-12-24,2099-12-31,
2052494466,Vanadium carbonyl,Observation,OMOP Exposome,Substance,S,20644-87-5,2014-12-24,2099-12-31,
2052494467,Vanadium nitride,Observation,OMOP Exposome,Substance,S,24646-85-3,2014-12-24,2099-12-31,
2052494468,Vanadium oxytrichloride,Observation,OMOP Exposome,Substance,S,7727-18-6,2014-12-24,2099-12-31,
2052494469,Vanadium tetrachloride,Observation,OMOP Exposome,Substance,S,7632-51-1,2014-12-24,2099-12-31,
2052494470,Vanadium(II) chloride,Observation,OMOP Exposome,Substance,S,10580-52-6,2014-12-24,2099-12-31,
2052494471,Vanadium(II) oxide,Observation,OMOP Exposome,Substance,S,12035-98-2,2014-12-24,2099-12-31,
2052494472,Vanadium(III) bromide,Observation,OMOP Exposome,Substance,S,13470-26-3,2014-12-24,2099-12-31,
2052494473,Vanadium(III) chloride,Observation,OMOP Exposome,Substance,S,7718-98-1,2014-12-24,2099-12-31,
2052494474,Vanadium(III) fluoride,Observation,OMOP Exposome,Substance,S,10049-12-4,2014-12-24,2099-12-31,
2052494475,Vanadium(III) iodide,Observation,OMOP Exposome,Substance,S,15513-94-7,2014-12-24,2099-12-31,
2052494476,Vanadium(III) oxide,Observation,OMOP Exposome,Substance,S,1314-34-7,2014-12-24,2099-12-31,
2052494477,Vanadium(III) sulfate,Observation,OMOP Exposome,Substance,S,13701-70-7,2014-12-24,2099-12-31,
2052494478,Vanadium(IV) fluoride,Observation,OMOP Exposome,Substance,S,10049-16-8,2014-12-24,2099-12-31,
2052494479,Vanadium(IV) oxide,Observation,OMOP Exposome,Substance,S,12036-21-4,2014-12-24,2099-12-31,
2052494480,Vanadium(V) oxide,Observation,OMOP Exposome,Substance,S,1314-62-1,2014-12-24,2099-12-31,
2052494481,Vanadium(V) oxytrifluoride,Observation,OMOP Exposome,Substance,S,13709-31-4,2014-12-24,2099-12-31,
