concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
282,2052497218,Is a,2025-04-15,2099-12-31,
283,2052497077,Subsumes,2025-04-15,2099-12-31,
283,2052497217,Is a,2025-04-15,2099-12-31,
283,2052497394,Subsumes,2025-04-15,2099-12-31,
283,2052497445,Subsumes,2025-04-15,2099-12-31,
283,2052497463,Subsumes,2025-04-15,2099-12-31,
283,2052497951,Is a,2025-04-15,2099-12-31,
286,2052497668,Is a,2025-04-15,2099-12-31,
286,2052497690,Subsumes,2025-04-15,2099-12-31,
286,2052497878,Subsumes,2025-04-15,2099-12-31,
290,2052497743,Is a,2025-04-15,2099-12-31,
293,2052497444,Subsumes,2025-04-15,2099-12-31,
293,2052497461,Subsumes,2025-04-15,2099-12-31,
293,2052497606,Is a,2025-04-15,2099-12-31,
293,2052497656,Subsumes,2025-04-15,2099-12-31,
293,2052497740,Is a,2025-04-15,2099-12-31,
302,2052497333,Is a,2025-04-15,2099-12-31,
309,2052497078,Subsumes,2025-04-15,2099-12-31,
309,2052497626,Subsumes,2025-04-15,2099-12-31,
311,2052497944,Is a,2025-04-15,2099-12-31,
312,2052497443,Subsumes,2025-04-15,2099-12-31,
313,2052497225,Is a,2025-04-15,2099-12-31,
329,2052497436,Subsumes,2025-04-15,2099-12-31,
329,2052497441,Subsumes,2025-04-15,2099-12-31,
329,2052497459,Subsumes,2025-04-15,2099-12-31,
329,2052497466,Subsumes,2025-04-15,2099-12-31,
329,2052497648,Subsumes,2025-04-15,2099-12-31,
329,2052497734,Is a,2025-04-15,2099-12-31,
329,2052497951,Is a,2025-04-15,2099-12-31,
329,2052498074,Subsumes,2025-04-15,2099-12-31,
333,2052497697,Is a,2025-04-15,2099-12-31,
334,2052497697,Is a,2025-04-15,2099-12-31,
335,2052497313,Subsumes,2025-04-15,2099-12-31,
335,2052497390,Subsumes,2025-04-15,2099-12-31,
335,2052497577,Is a,2025-04-15,2099-12-31,
335,2052497617,Subsumes,2025-04-15,2099-12-31,
335,2052497697,Is a,2025-04-15,2099-12-31,
335,2052499607,Subsumes,2025-04-15,2099-12-31,
336,2051503057,Mapped from,2025-04-15,2099-12-31,
336,2052497577,Is a,2025-04-15,2099-12-31,
336,2052497580,Is a,2025-04-15,2099-12-31,
336,2052497882,Subsumes,2025-04-15,2099-12-31,
336,2052497895,Subsumes,2025-04-15,2099-12-31,
336,2052498616,Subsumes,2025-04-15,2099-12-31,
336,2052498617,Subsumes,2025-04-15,2099-12-31,
338,2052497331,Subsumes,2025-04-15,2099-12-31,
338,2052497577,Is a,2025-04-15,2099-12-31,
338,2052497684,Subsumes,2025-04-15,2099-12-31,
338,2052497706,Subsumes,2025-04-15,2099-12-31,
339,2052497702,Is a,2025-04-15,2099-12-31,
340,2052497939,Is a,2025-04-15,2099-12-31,
364,2052497207,Subsumes,2025-04-15,2099-12-31,
364,2052497225,Subsumes,2025-04-15,2099-12-31,
364,2052497376,Subsumes,2025-04-15,2099-12-31,
364,2052497649,Subsumes,2025-04-15,2099-12-31,
364,2052497793,Is a,2025-04-15,2099-12-31,
364,2052497949,Is a,2025-04-15,2099-12-31,
364,2052498036,Subsumes,2025-04-15,2099-12-31,
364,2052498037,Subsumes,2025-04-15,2099-12-31,
364,2052499900,Subsumes,2025-04-15,2099-12-31,
367,2052497080,Subsumes,2025-04-15,2099-12-31,
367,2052497089,Subsumes,2025-04-15,2099-12-31,
367,2052497448,Subsumes,2025-04-15,2099-12-31,
367,2052497453,Subsumes,2025-04-15,2099-12-31,
367,2052497457,Subsumes,2025-04-15,2099-12-31,
367,2052497458,Subsumes,2025-04-15,2099-12-31,
367,2052497462,Subsumes,2025-04-15,2099-12-31,
367,2052497464,Subsumes,2025-04-15,2099-12-31,
367,2052497571,Is a,2025-04-15,2099-12-31,
367,2052497579,Is a,2025-04-15,2099-12-31,
367,2052497951,Is a,2025-04-15,2099-12-31,
374,2052497583,Subsumes,2025-04-15,2099-12-31,
374,2052497950,Subsumes,2025-04-15,2099-12-31,
397,2052497429,Is a,2025-04-15,2099-12-31,
398,2052497426,Subsumes,2025-04-15,2099-12-31,
398,2052497428,Subsumes,2025-04-15,2099-12-31,
398,2052497430,Is a,2025-04-15,2099-12-31,
403,2052497222,Subsumes,2025-04-15,2099-12-31,
403,2052497578,Subsumes,2025-04-15,2099-12-31,
403,2052497609,Subsumes,2025-04-15,2099-12-31,
403,2052497897,Subsumes,2025-04-15,2099-12-31,
403,2052497898,Subsumes,2025-04-15,2099-12-31,
403,2052497953,Is a,2025-04-15,2099-12-31,
403,2052499559,Subsumes,2025-04-15,2099-12-31,
403,2052499560,Subsumes,2025-04-15,2099-12-31,
403,2052499561,Subsumes,2025-04-15,2099-12-31,
403,2052499576,Subsumes,2025-04-15,2099-12-31,
403,2052499577,Subsumes,2025-04-15,2099-12-31,
403,2052499578,Subsumes,2025-04-15,2099-12-31,
403,2052499579,Subsumes,2025-04-15,2099-12-31,
403,2052499580,Subsumes,2025-04-15,2099-12-31,
403,2052499581,Subsumes,2025-04-15,2099-12-31,
403,2052499582,Subsumes,2025-04-15,2099-12-31,
403,2052499583,Subsumes,2025-04-15,2099-12-31,
403,2052499584,Subsumes,2025-04-15,2099-12-31,
403,2052499585,Subsumes,2025-04-15,2099-12-31,
403,2052499586,Subsumes,2025-04-15,2099-12-31,
403,2052499587,Subsumes,2025-04-15,2099-12-31,
403,2052499588,Subsumes,2025-04-15,2099-12-31,
403,2052499589,Subsumes,2025-04-15,2099-12-31,
403,2052499639,Subsumes,2025-04-15,2099-12-31,
403,2052499640,Subsumes,2025-04-15,2099-12-31,
403,2052499641,Subsumes,2025-04-15,2099-12-31,
403,2052499642,Subsumes,2025-04-15,2099-12-31,
403,2052499819,Subsumes,2025-04-15,2099-12-31,
403,2052499820,Subsumes,2025-04-15,2099-12-31,
403,2052499821,Subsumes,2025-04-15,2099-12-31,
403,2052499822,Subsumes,2025-04-15,2099-12-31,
403,2052499823,Subsumes,2025-04-15,2099-12-31,
403,2052499825,Subsumes,2025-04-15,2099-12-31,
403,2052499827,Subsumes,2025-04-15,2099-12-31,
403,2052499828,Subsumes,2025-04-15,2099-12-31,
403,2052499829,Subsumes,2025-04-15,2099-12-31,
403,2052499830,Subsumes,2025-04-15,2099-12-31,
403,2052499831,Subsumes,2025-04-15,2099-12-31,
403,2052499832,Subsumes,2025-04-15,2099-12-31,
403,2052499833,Subsumes,2025-04-15,2099-12-31,
403,2052499834,Subsumes,2025-04-15,2099-12-31,
403,2052499835,Subsumes,2025-04-15,2099-12-31,
403,2052499836,Subsumes,2025-04-15,2099-12-31,
403,2052499837,Subsumes,2025-04-15,2099-12-31,
403,2052499838,Subsumes,2025-04-15,2099-12-31,
403,2052499868,Subsumes,2025-04-15,2099-12-31,
403,2052499901,Subsumes,2025-04-15,2099-12-31,
403,2052499902,Subsumes,2025-04-15,2099-12-31,
403,2052499903,Subsumes,2025-04-15,2099-12-31,
403,2052499904,Subsumes,2025-04-15,2099-12-31,
403,2052499905,Subsumes,2025-04-15,2099-12-31,
403,2052499906,Subsumes,2025-04-15,2099-12-31,
403,2052499907,Subsumes,2025-04-15,2099-12-31,
403,2052499980,Subsumes,2025-04-15,2099-12-31,
403,2052499981,Subsumes,2025-04-15,2099-12-31,
403,2052499982,Subsumes,2025-04-15,2099-12-31,
403,2052499983,Subsumes,2025-04-15,2099-12-31,
403,2052499984,Subsumes,2025-04-15,2099-12-31,
411,2052497574,Is a,2025-04-15,2099-12-31,
411,2052497952,Is a,2025-04-15,2099-12-31,
411,2052498003,Subsumes,2025-04-15,2099-12-31,
412,2052497682,Subsumes,2025-04-15,2099-12-31,
412,2052497734,Is a,2025-04-15,2099-12-31,
415,2052497208,Subsumes,2025-04-15,2099-12-31,
415,2052497215,Subsumes,2025-04-15,2099-12-31,
415,2052497606,Is a,2025-04-15,2099-12-31,
415,2052497619,Subsumes,2025-04-15,2099-12-31,
415,2052497633,Subsumes,2025-04-15,2099-12-31,
415,2052497648,Subsumes,2025-04-15,2099-12-31,
415,2052497673,Subsumes,2025-04-15,2099-12-31,
415,2052497682,Subsumes,2025-04-15,2099-12-31,
415,2052497734,Is a,2025-04-15,2099-12-31,
417,2052497949,Is a,2025-04-15,2099-12-31,
419,2052497859,Subsumes,2025-04-15,2099-12-31,
419,2052497951,Is a,2025-04-15,2099-12-31,
428,2052497631,Is a,2025-04-15,2099-12-31,
430,2052497390,Is a,2025-04-15,2099-12-31,
431,2052497702,Is a,2025-04-15,2099-12-31,
432,2052497317,Subsumes,2025-04-15,2099-12-31,
432,2052497329,Is a,2025-04-15,2099-12-31,
432,2052497732,Subsumes,2025-04-15,2099-12-31,
435,2052497083,Subsumes,2025-04-15,2099-12-31,
435,2052497084,Subsumes,2025-04-15,2099-12-31,
435,2052497086,Subsumes,2025-04-15,2099-12-31,
435,2052497090,Subsumes,2025-04-15,2099-12-31,
435,2052497379,Subsumes,2025-04-15,2099-12-31,
435,2052497574,Is a,2025-04-15,2099-12-31,
435,2052497793,Is a,2025-04-15,2099-12-31,
435,2052497949,Is a,2025-04-15,2099-12-31,
436,2052497555,Is a,2025-04-15,2099-12-31,
437,2052497451,Subsumes,2025-04-15,2099-12-31,
437,2052497554,Subsumes,2025-04-15,2099-12-31,
437,2052497734,Is a,2025-04-15,2099-12-31,
445,2052497260,Subsumes,2025-04-15,2099-12-31,
445,2052497609,Is a,2025-04-15,2099-12-31,
446,2052497591,Subsumes,2025-04-15,2099-12-31,
446,2052497610,Is a,2025-04-15,2099-12-31,
446,2052497953,Is a,2025-04-15,2099-12-31,
451,2052497327,Subsumes,2025-04-15,2099-12-31,
451,2052497629,Subsumes,2025-04-15,2099-12-31,
451,2052497630,Subsumes,2025-04-15,2099-12-31,
451,2052497631,Subsumes,2025-04-15,2099-12-31,
451,2052497632,Subsumes,2025-04-15,2099-12-31,
451,2052497793,Is a,2025-04-15,2099-12-31,
451,2052497949,Is a,2025-04-15,2099-12-31,
8515,2051500707,Mapped from,2025-04-15,2099-12-31,
8516,2051500626,Mapped from,2025-04-15,2099-12-31,
8584,2052497939,Is a,2025-04-15,2099-12-31,
8615,2052497207,Subsumes,2025-04-15,2099-12-31,
8615,2052497225,Subsumes,2025-04-15,2099-12-31,
8615,2052497376,Subsumes,2025-04-15,2099-12-31,
8615,2052497649,Subsumes,2025-04-15,2099-12-31,
8615,2052497793,Is a,2025-04-15,2099-12-31,
8615,2052497949,Is a,2025-04-15,2099-12-31,
8615,2052498036,Subsumes,2025-04-15,2099-12-31,
8615,2052498037,Subsumes,2025-04-15,2099-12-31,
8615,2052499900,Subsumes,2025-04-15,2099-12-31,
8716,2052497587,Subsumes,2025-04-15,2099-12-31,
8716,2052497647,Subsumes,2025-04-15,2099-12-31,
8716,2052497651,Subsumes,2025-04-15,2099-12-31,
8716,2052497661,Subsumes,2025-04-15,2099-12-31,
8716,2052497793,Subsumes,2025-04-15,2099-12-31,
8716,2052497854,Subsumes,2025-04-15,2099-12-31,
8716,2052497930,Subsumes,2025-04-15,2099-12-31,
8716,2052497939,Subsumes,2025-04-15,2099-12-31,
8717,2052497743,Is a,2025-04-15,2099-12-31,
8756,2052497444,Subsumes,2025-04-15,2099-12-31,
8756,2052497461,Subsumes,2025-04-15,2099-12-31,
8756,2052497606,Is a,2025-04-15,2099-12-31,
8756,2052497656,Subsumes,2025-04-15,2099-12-31,
8756,2052497740,Is a,2025-04-15,2099-12-31,
8809,2052497555,Is a,2025-04-15,2099-12-31,
8858,2052497939,Is a,2025-04-15,2099-12-31,
8892,2052497743,Is a,2025-04-15,2099-12-31,
8913,2052497949,Is a,2025-04-15,2099-12-31,
8949,2052497939,Is a,2025-04-15,2099-12-31,
9643,2052497575,Is a,2025-04-15,2099-12-31,
9644,2052497575,Is a,2025-04-15,2099-12-31,
32050,2052497650,Subsumes,2025-04-15,2099-12-31,
