concept_id,concept_synonym_name,language_concept_id
2052490073,"Minority (Hispanic Or Latino (Of Any Race); Black And African American, Not Hispanic Or Latino; American Indian And Alaska Native, Not Hispanic Or Latino; Asian, Not Hispanic Or Latino; Native Hawaiian And Other Pacific Islander, Not Hispanic Or Latino; T",4180186
2052490081,"6-(5-Chloro-2-pyridinyl)-7-oxo-6,7-dihydro-5H-pyrrolo3,4-bpyrazin-5-yl 4-methyl-1-piperazinecarboxylate; (\u00b1)-zopiclone; (+-)-zopiclone; Zopiclonum; Zopiclona; Zimovane; Rhovane; Imovane; Amoban; CHEBI:32315",4180186
2052490082,"Exceglan; Excegram; Excegran; Zonegran; Zonisamida; Zonisamidum; 3-(Sulfamoylmethyl)-1,2-benzisoxazole; BenzoDisoxazol-3-yl-methanesulfonamide; 1,2-Benzisoxazole-3-methanesulfonamide; CHEBI:10127",4180186
2052490083,"Stilnox CR; Stilnox; Dormizol; Bikalm; Zoltis; Nottem; Stilnoct; Nimadorm; Nasen; N,N,6-Trimethyl-2-(4-methylphenyl)imidazo(1,2-a)pyridine-3-acetamide; Zolpimist; Ambien CR; Zolsana; Ambien; Myslee; Ivedal; Ivadal; Intermezzo; Hypnogen; Edluar; Zolpidemum",4180186
2052490084,"Zomig; AscoTop; 311C90; (S)-4-({3-2-(dimethylamino)ethyl-1H-indol-5-yl}methyl)-1,3-oxazolidin-2-one; Zomitan; Zolmitriptanum; Zolmit; zolmiptriptan; Zomigoro; Zolmiles; Nomi; Zomigon; ZMT; 4-3-(2-Dimethylaminoethyl)-1H-indol-5-ylmethyloxazolidin-2-one; Zo",4180186
2052490086,Aclasta; (1-Hydroxy-2-imidazol-1-ylethylidene)diphosphonic acid; (1-Hydroxy-2-(1H-imidazol-1-yl)ethylidene)bisphosphonic acid; Reclast; ZOL; Zoledronic acid; Zometa; Zometa Concentrate; CHEBI:46557,4180186
2052490088,"Crystal zineb; Devizeb; Deikusol; Daisen; Cynkotox; Crittox; Clortocaffaro; Zinc ethylene bisdithiocarbamate; Zinc ethylene-1,2-bisdithiocarbamate; Zinc ethylenebis(dithiocarbamate) (polymeric); Zinc ethylenebisdithiocarbamate; Zinc ethylenebisthiocarbama",4180186
2052490093,Zincosite; Zincomed; Zincate; Zincaps; Zinc(II) sulphate; Zinc(II) sulfate; Zinc(2+) sulphate; Orazinc; Optraex; Zinc sulphate (1:1); Zinc sulphate anhydrous; Solvezink; Optised; Verazinc; Visine-ac; White copperas; Op-thal-zin; Nu-z; Prefrin-z; Solvazinc,4180186
2052490099,"Pyrithione zinc; Zinc pyridinethione; Zincon dandruff shampoo; ZNPT; ZPT; Zinc pyridine-2-thiol-1-oxide; (T-4)-Bis(1-hydroxy-2(1H)-pyridinethionato-O,S)zinc; 2(1H)-Pyridinethione, 1-hydroxy-, zinc complex; 2-Mercaptopyridine 1-oxide zinc salt; 2-Mercaptop",4180186
2052490106,Actox 14; Actox 216; Akro-zinc Bar 85; Akro-zinc bar 90; Amalox; Azo-55TT; Azo-66TT; Azo-77TT; Azodox; Azodox-55; Azodox-55TT; Blanc de zinc; C-Weiss 8; C.I. Pigment white 4; Cadox XX 78; Canfelzo; Chinese white; CI Pigment white 4; Colloidal zinc oxide; ,4180186
2052490124,Butter of zinc; ZnCl2; Zintrace; Zinkchloride; Zine dichloride; Zinctrace; Zinco (cloruro di); Zinco; Zinc(II) chloride; Zinc muriate; Zinc dichloride; Zinc butter; Tinning flux; Hydrochloric acid zinc salt (2:1); Hexite; Dichlorozinc; CHEBI:49976,4180186
2052490137,"Acetic acid, zinc(II) salt; Acetic acid, zinc salt; Zinc diacetate; Zinc acetic acid; Dicarbomethoxyzinc; CHEBI:62984",4180186
2052490138,Zinc(2+); Zinc (II) cation; Zinc ion; Zinc ion (Zn2+); Zinc(2+) ion; Zinc(II); Zn; Zn(2+); Zn2+; CHEBI:30185,4180186
2052490139,AZT; Zidovudinum; Zidovudin; ZDV; Retrovir; Azidothymidine; CHEBI:10110,4180186
2052490142,"Zalaplon; Sonata; DEA No. 2781; 3'-(3-Cyanopyrazolo(1,5-a)pyrimidin-7-yl)-N-ethylacetanilide; CHEBI:10102",4180186
2052490143,"4-amino-1-(2R,5S)-5-(Hydroxymethyl)tetrahydrofuran-2-ylpyrimidin-2(1H)-one; 2',3'-Dideoxycytidine; Dideoxycytidine; HIVID; DDCYD; DDC; CHEBI:10101",4180186
2052490148,"3,4-Dimethylphenol methylcarbamate; Methylcarbamic acid 3,4-xylyl ester; 3,4-Xylyl methylcarbamate; 3,4-Dimethylphenyl N-methylcarbamate; Meobal; Carbamic acid, N-methyl-, (3,4-dimethylphenyl) ester; Carbamic acid, methyl-, 3,4-xylyl ester; 3,4-Dimethylph",4180186
2052490156,"2,6(1,3)-Purinedion; 2,6-Dioxopurine; 3,7-Dihydro-1H-purine-2,6-dione; Xanthin; Xanthic oxide; Purine-2,6-diol; Purine-2,6(1H,3H)-dione; Pseudoxanthine; Isoxanthine; Dioxopurine; 9H-Purine-2,6-diol; 9H-Purine-2,6(1H,3H)-dione; 3,7-Dihydropurine-2,6-dione;",4180186
2052490160,Phosphorus; White phosphorus; Willie Pete; Willy Pete; WP; Yellow phosphorus; Tetraphosphorus; CHEBI:35895,4180186
2052490162,Co-rax; Zoocoumarin; Warfarin sodium; Warfant; Waran; Vampirinip III; Vampirinip II; Twin light rat away; Tox-hid; Temus w; Spray-trol brand roden-trol; Sorexa plus; Solfarin; Sewarin; Sakarat; Rough and ready mouse mix; Rough & ready mouse mix; Rosex; Ro,4180186
2052490212,"(2e,4e,6e,8e)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol; Vitamin A1; (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraen-1-ol; All-trans-Retinol; all-trans-retinyl alcohol; trans-Retinol; all-tr",4180186
2052490216,Vinyl chloride monomer; VCM; VC; Refrigerant-1140; Monovinyl chloride; Monochloroethylene; Chloroethene; Monochloroethene; Chloroethylene; CHEBI:28509,4180186
2052490217,"Ethylene, bromo-, polymer; Polybromoethylene; Polyvinyl bromide; Polyvinylbromide; PVBR; Saytex VBR; Vinyl bromide polymer; Vinyl bromide solution; Vinyl bromide, inhibited; Vinyl-13C2 Bromide (gas); Vinylbromid; 1-Bromoethylene; Bromoethene; Bromoethene ",4180186
2052490221,Vinces; Vincristin; Vincrstine; Vincrystine; Vinlon; Vinracine; Z-D-Val-Lys(Z)-OH; 22-Oxovincaleukoblastin; 22-Oxovincaleukoblastine; Alcavixin; Alcrist; Citomid; Cytocristin; Indole alkaloid; LCR; Leurocristine; Oncocristin; Marqibo; Vincrisin; VIN; VCR;,4180186
2052490223,"Vinko; Vincaleukoblastine; Vinblastinum; Vinblastina; Vinblastin; Vinblasin; Velbe; Velbastin; Velban; Oncostin; Blastivin; Cytoblastin; Lemblastine; Xintoprost; Weibaoding; VLB; (2alpha,2'BETA,3beta,4alpha,5beta)-vincaleukoblastine; CHEBI:27375",4180186
2052490224,Sabrilex; gamma-Vinyl-gamma-aminobutyric acid; GVG; Vigabatrina; Vigabatrine; Vigabatrinum; gamma-Vinyl GABA; 4-Amino-5-hexenoic acid; Sabrilan; Sabril; CHEBI:63638,4180186
2052490237,"(3beta,23beta)-14,15,16,17-Tetradehydroveratraman-3,23-diol; CHEBI:CHEBI:9951",4180186
2052490238,Verasifar; Zolvera; Vortac; Novapamyl LP; Novo-Veramil; Nu-Verap; Vetrimil; Vertab; Verpamil; Veroptinstada; Verogalid ER; Verogalid; Vermine; Vermin; Verisop; Verelan SR; Verelan PM; Verelan; Verdilac; Akilen; Anpec; Apo-Verap; Arpamyl LP; Berkatens; Bos,4180186
2052490239,Venlafaxin; Effexor XR; Elafax; Venlafexine; Venlafaxinum; Venlafaxina; Trevilor; Efectin; Efexor; Effexor; CHEBI:9943,4180186
2052490252,Vanillin (natural); Vanillic aldehyde; 4-Hydroxy-3-methoxy-Benzaldehyde-5-chlorovanillin; 4-Hydroxy-3-methoxybenzaldehyde; 4-Hydroxy-5-methoxybenzaldehyde; Vanillaldehyde; Vanilla oleoresin; Vanilla; Vaniline; Vanilin; trans-2-Ethoxy-5-(1-propenyl)phenol;,4180186
2052490253,Vancomycin HCL; Vancomicina; Vancoled; Vancocin; COVANC; Vancomycine; Vancomycinum; CHEBI:28001,4180186
2052490254,Vanadyl sulphic acid; Oxovanadium(IV) sulfate; oxosulfato(2-)-kappaO-vanadium; Vanadyl sulfate (VSO5); Vanadyl sulfate (VO(SO4)); Vanadium sulfate; Vanadium oxysulfate; Vanadium oxide sulphate; Oxosulfatovanadium(IV); oxidovanadium(2+) sulfate; Vanadium o,4180186
