"source_code_set","source_category","source_domain","source_code","source_concept_id","source_vocabulary_id","source_description","source_description_synonym","relationship_id","predicate_id","confidence","target_concept_id","target_concept_name","target_vocabulary_id","target_domain_id","author_label","reviewer_label","reviewer_comments","mapping_justification","mapping_tool","mapping_tool_version"
"HPO","HPO","Condition","HP_5201012","37438557","HPO","Incomplete bilateral cleft lip","","Maps to","skos:exactMatch","1","132420","Incomplete bilateral cleft lip","SNOMED","Condition","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_5201011","37438556","HPO","Complete bilateral cleft lip","","Maps to","skos:exactMatch","1","137972","Complete bilateral cleft lip","SNOMED","Condition","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_5201006","37438551","HPO","Incomplete cleft soft palate","","Maps to","skos:exactMatch","1","4111176","Incomplete cleft of soft palate","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_5201005","37438550","HPO","Complete cleft soft palate","","Maps to","skos:exactMatch","1","4109046","Complete cleft of soft palate","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_5201003","37438548","HPO","Complete cleft hard palate","","Maps to","skos:exactMatch","1","37204657","Complete cleft of hard palate","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_5200134","37438421","HPO","Jumping","","Maps to","skos:exactMatch","1","4241667","Jumping","SNOMED","Observation","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_5200119","37438409","HPO","Difficulty understanding humor","","Maps to","skos:exactMatch","1","42689838","Difficulty understanding humour","SNOMED","Observation","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_5200069","37438393","HPO","Spinning","","Maps to","skos:exactMatch","1","439383","Vertigo","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_5200052","37438378","HPO","Resistance to trivial environmental changes","","Maps to","skos:exactMatch","1","4085832","Resistance to changes in environment","SNOMED","Observation","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_5200038","37438367","HPO","Bradylalia","","Maps to","skos:exactMatch","1","4282992","Bradylalia","SNOMED","Condition","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_5200029","37438363","HPO","Social disinhibition","","Maps to","skos:exactMatch","1","4085840","Social disinhibition","SNOMED","Observation","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
