source_code_set,source_category,source_domain,source_code,source_concept_id,source_vocabulary_id,source_description,source_description_synonym,relationship_id,predicate_id,confidence,target_concept_id,target_concept_name,target_vocabulary_id,target_domain_id,author_label,reviewer_label,reviewer_comments,mapping_justification,mapping_tool,mapping_tool_version
admission-class,,Observation,AMBULATORY OBSERVATION,0,MIMIC4,AMBULATORY OBSERVATION,,Is a,skos:broadMatch,1,44806889,Ambulatory care,SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
admission-class,,Observation,DIRECT EMER.,0,MIMIC4,DIRECT EMER.,,Maps to,skos:closeMatch,1,44808941,Referral to emergency medical service,SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
admission-class,,Observation,DIRECT OBSERVATION,0,MIMIC4,DIRECT OBSERVATION,,Maps to,skos:closeMatch,1,4021182,Close observation,SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
admission-class,,Observation,ELECTIVE,0,MIMIC4,ELECTIVE,,Maps to,skos:closeMatch,1,4314435,"Hospital admission, elective",SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
admission-class,,Observation,EU OBSERVATION,0,MIMIC4,EU OBSERVATION,,Maps to,skos:closeMatch,1,4022114,Observation regime,SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
admission-class,,Observation,EW EMER.,0,MIMIC4,EW EMER.,,Maps to,skos:closeMatch,1,44808941,Referral to emergency medical service,SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
admission-class,,Observation,OBSERVATION ADMIT,0,MIMIC4,OBSERVATION ADMIT,,Maps to,skos:closeMatch,1,4022114,Observation regime,SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
admission-class,,Observation,SURGICAL SAME DAY ADMISSION,0,MIMIC4,SURGICAL SAME DAY ADMISSION,,Maps to,skos:closeMatch,1,46271037,Admission to same day surgery center,SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
admission-class,,Observation,URGENT,0,MIMIC4,URGENT,,Maps to,skos:closeMatch,1,763902,Urgent hospital admission,SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,L Antecube,0,MIMIC4,L Antecube,,Is a,skos:broadMatch,1,4236336,Antecubital region structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,L Foot,0,MIMIC4,L Foot,,Maps to,skos:exactMatch,1,4320144,Structure of left foot,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,L Hand,0,MIMIC4,L Hand,,Maps to,skos:exactMatch,1,4309650,Structure of left hand,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,L Hand Lateral,0,MIMIC4,L Hand Lateral,,Is a,skos:broadMatch,1,4309650,Structure of left hand,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,L Hand Medial,0,MIMIC4,L Hand Medial,,Is a,skos:broadMatch,1,4309650,Structure of left hand,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,L Wrist,0,MIMIC4,L Wrist,,Maps to,skos:exactMatch,1,4245733,Structure of left wrist region,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,L Wrist Lateral,0,MIMIC4,L Wrist Lateral,,Is a,skos:broadMatch,1,4245733,Structure of left wrist region,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,L Wrist Medial,0,MIMIC4,L Wrist Medial,,Is a,skos:broadMatch,1,4245733,Structure of left wrist region,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left above Antecubital,0,MIMIC4,Left above Antecubital,,Is a,skos:broadMatch,1,4236336,Antecubital region structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
