ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
"21145611","2062501698","1","1"
"44791698","2062498074","1","1"
"35609185","2062498018","1","1"
"4190104","2061501231","1","1"
"4189544","2061501212","1","1"
"36118942","2062504474","1","1"
"760568","2061500942","1","1"
"4048506","2061505378","1","1"
"1989527","2061500896","1","1"
"4232896","2061501994","1","1"
"4218198","2062504203","1","1"
"2061500848","21490830","1","1"
"2061501276","968984","1","1"
"44806798","2061501755","1","1"
"42873108","2061502262","1","1"
"967823","2062500546","1","1"
"4048506","2061506278","1","1"
"3015588","2061502016","1","1"
"4057002","2061501990","1","1"
"2061502198","40070107","1","1"
"2061500494","40166275","1","1"
"4269442","2061501088","1","1"
"21125875","2062504079","1","1"
"4191710","2061500834","1","1"
"722048","2061502233","1","1"
"4159406","2061501549","1","1"
"1988205","2061501435","1","1"
"21125875","2062505882","1","1"
"21145611","2062501704","1","1"
"4241475","2061500585","1","1"
"4301351","2061502191","1","1"
"4189544","2061501206","1","1"
"1759196","2062504531","1","1"
"4159405","2061501603","1","1"
"4001350","2061505373","1","1"
"4199296","2061500611","1","1"
"21494997","2061500610","1","1"
"3034703","2061501398","1","1"
"4069765","2061506170","1","1"
"4159405","2061501583","1","1"
"36118942","2062503692","1","1"
"939506","2062502979","1","1"
"2061500494","44095746","1","1"
"42869590","2061501602","1","1"
"3004921","2061502108","1","1"
"3044016","2061501398","1","1"
"3044016","2061501397","1","1"
"760568","2061500936","1","1"
"44791205","2062498063","1","1"
"21125875","2062502943","1","1"
"45774679","2062501259","1","1"
"1129625","2062501687","1","1"
"44791204","2062498011","1","1"
"989878","2062502585","1","1"
"21125875","2062503652","1","1"
"4090200","2061501449","1","1"
"4013964","2061501550","1","1"
"4190196","2062500992","1","1"
"2061502066","2925834","1","1"
"2061505819","3026355","1","1"
"19121187","2062503389","1","1"
"2061502197","35606347","1","1"
"40771526","2061500793","1","1"
"4232896","2061501993","1","1"
"4011079","2061500840","1","1"
"4044965","2061505799","1","1"
"4282626","2061500581","1","1"
"2061500457","40145080","1","1"
"4014134","2061503755","1","1"
"987153","2062503688","1","1"
"37392885","2061505874","1","1"
"21027865","2062503653","1","1"
"1126658","2062502006","1","1"
"4301868","2061509072","1","1"
"2061500474","2933626","1","1"
"4021323","2061502239","1","1"
"36878782","2062502941","1","1"
"2061501793","42800914","1","1"
"3022666","2061502025","1","1"
"722060","2061502230","1","1"
"2061502063","36890589","1","1"
"44790745","2062498041","1","1"
"1548195","2062504309","1","1"
"9201","2062495415","1","1"
"2061502063","43195574","1","1"
"1135766","2062503477","1","1"
"2061502198","587481","1","1"
"581385","2061507274","1","1"
"44791205","2062498057","1","1"
"36713684","2061500522","1","1"
"4078224","2061502173","1","1"
"2061500662","1989384","1","1"
"21125875","2062504463","1","1"
"2213276","2061505861","1","1"
"708298","2061500460","1","1"
"4056996","2061503824","1","1"
"2061500577","3012897","1","1"
"2061500575","3009083","1","1"
"4144861","2061501386","1","1"
"987153","2062503687","1","1"
"21125875","2062503268","1","1"
"4171047","2062502046","1","1"
"1550557","2062503592","1","1"
"732893","2062500579","1","1"
"2061501951","40757760","1","1"
"2061501341","35602789","1","1"
"1501309","2062504209","1","1"
"2061500976","4152380","1","1"
"21490674","2061501897","1","1"
"4107893","2061505881","1","1"
"37158040","2061506263","1","1"
"4159406","2061501550","1","1"
"4021323","2061502238","1","1"
"19037038","2061501728","1","1"
"21027865","2062502040","1","1"
"1129625","2062502742","1","1"
"44817051","2061501754","1","1"
"36848825","2062503706","1","1"
"35609179","2062498077","1","1"
"21125875","2062500819","1","1"
"2061501309","36893499","1","1"
"21145611","2062503646","1","1"
"9201","2062495424","1","1"
"44791698","2062498075","1","1"
"2061500474","2933624","1","1"
"44790762","2062498073","1","1"
"41263780","2062500941","1","1"
