concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
"2061508536","mmHg.","Unit","MIMIC4","m4_units",,"mmHg.","2025-05-07","2099-12-31",
"2061508460","mg PE","Unit","MIMIC4","m4_units",,"mg PE","2025-05-07","2099-12-31",
"2061505427","URINE","Specimen","MIMIC4","m4_micro_spec",,"70081","2025-05-07","2099-12-31",
"2061508369","mg/0.4 mL","Unit","MIMIC4","m4_units",,"mg/0.4 mL","2025-05-07","2099-12-31",
"2061506411","abd.","Observation","MIMIC4","m4_emar_site",,"abd.","2025-05-07","2099-12-31",
"2061508915","pg","Unit","MIMIC4","m4_units",,"pg","2025-05-07","2099-12-31",
"2061508072","L/hr","Unit","MIMIC4","m4_units",,"L/hr","2025-05-07","2099-12-31",
"2061508401","mg/2mL","Unit","MIMIC4","m4_units",,"mg/2mL","2025-05-07","2099-12-31",
"2061508392","mg/24 hour","Unit","MIMIC4","m4_units",,"mg/24 hour","2025-05-07","2099-12-31",
"2061508526","ml/kg","Unit","MIMIC4","m4_units",,"ml/kg","2025-05-07","2099-12-31",
"2061500464","Fentany","Drug","MIMIC4","m4_input_itemid",,"221744","2025-05-07","2099-12-31",
"2061507493","fL","Unit","MIMIC4","m4_units",,"fL","2025-05-07","2099-12-31",
"2061508589","mV","Unit","MIMIC4","m4_units",,"mV","2025-05-07","2099-12-31",
"2061508515","ML","Unit","MIMIC4","m4_units",,"ML","2025-05-07","2099-12-31",
"2062496086","R150","Observation","MIMIC4","m4_icd_dx_code",,"R150","2026-05-28","2099-12-31",
"2062496272","R771","Measurement","MIMIC4","m4_icd_dx_code",,"R771","2026-05-28","2099-12-31",
"2062508586","+/-","Unit","MIMIC4","m4_units",,"+/-","2026-05-28","2099-12-31",
"2062500999","Cinnamon","Drug","MIMIC4","m4_rx_drug",,"Cinnamon","2026-05-28","2099-12-31",
"2062502501","leva","Drug","MIMIC4","m4_rx_drug",,"leva","2026-05-28","2099-12-31",
"2062500458","artif","Drug","MIMIC4","m4_rx_drug",,"artif","2026-05-28","2099-12-31",
"2062502499","Leupr","Drug","MIMIC4","m4_rx_drug",,"Leupr","2026-05-28","2099-12-31",
"2062498423","Z578","Observation","MIMIC4","m4_icd_dx_code",,"Z578","2026-05-28","2099-12-31",
"2062502573","lid","Drug","MIMIC4","m4_rx_drug",,"lid","2026-05-28","2099-12-31",
"2062501886","Guaifenes","Drug","MIMIC4","m4_rx_drug",,"Guaifenes","2026-05-28","2099-12-31",
"2062502746","mecli","Drug","MIMIC4","m4_rx_drug",,"mecli","2026-05-28","2099-12-31",
"2062502624","Lillow","Drug","MIMIC4","m4_rx_drug",,"Lillow","2026-05-28","2099-12-31",
"2062496081","R030","Observation","MIMIC4","m4_icd_dx_code",,"R030","2026-05-28","2099-12-31",
"2062508612","mg/hr","Unit","MIMIC4","m4_units",,"mg/hr","2026-05-28","2099-12-31",
"2062495488","Somali","Language","MIMIC4","m4_language",,"Somali","2026-05-28","2099-12-31",
"2062502769","Mepe","Drug","MIMIC4","m4_rx_drug",,"Mepe","2026-05-28","2099-12-31",
"2062501208","D25W","Drug","MIMIC4","m4_rx_drug","S","D25W","2026-05-28","2099-12-31",
"2062502995","neo","Drug","MIMIC4","m4_rx_drug",,"neo","2026-05-28","2099-12-31",
"2062500397","anast","Drug","MIMIC4","m4_rx_drug",,"anast","2026-05-28","2099-12-31",
"2062504264","tran","Drug","MIMIC4","m4_rx_drug",,"tran","2026-05-28","2099-12-31",
"2061509670","Umits","Unit","MIMIC4","m4_units",,"Umits","2025-05-07","2099-12-31",
"2062507505","2","Drug","MIMIC4","m4_rx_ndc",,"2","2026-05-28","2099-12-31",
"2062503581","prami","Drug","MIMIC4","m4_rx_drug",,"prami","2026-05-28","2099-12-31",
"2062504542","warf","Drug","MIMIC4","m4_rx_drug",,"warf","2026-05-28","2099-12-31",
"2062501745","Fluva","Drug","MIMIC4","m4_rx_drug",,"Fluva","2026-05-28","2099-12-31",
"2061503547","4ML","Unit","MIMIC4","m4_units",,"4ML","2025-05-07","2099-12-31",
"2061501361","Reason for CRRT Filter Change","Measurement","MIMIC4","m4_ditem_label",,"225956","2025-05-07","2099-12-31",
"2061509231","Right Digital","Observation","MIMIC4","m4_emar_site",,"Right Digital","2025-05-07","2099-12-31",
"2061500068","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm","Procedure","MIMIC4","m4_hcpcs_code",,"11404","2025-05-07","2099-12-31",
"2061508096","Lidocaine 5% Patch Patch","Drug","MIMIC4","m4_formulary_cd",,"LIDO5T","2025-05-07","2099-12-31",
"2061508419","mg/74mg","Unit","MIMIC4","m4_units",,"mg/74mg","2025-05-07","2099-12-31",
"2061503156","Unlisted procedure, vascular surgery","Procedure","MIMIC4","m4_hcpcs_code",,"37799","2025-05-07","2099-12-31",
"2061504769","Polys#|Joint Fluid|Hematology","Measurement","MIMIC4","m4_lab_itemid",,"52309","2025-05-07","2099-12-31",
"2061509193","Repaglinide (REPA0.5)","Drug","MIMIC4","m4_formulary_cd",,"REPA0.5","2025-05-07","2099-12-31",
"2061500657","Heparin Dose (per hour)","Observation","MIMIC4","m4_ditem_label","S","224145","2025-05-07","2099-12-31",
"2061505016","Combined anteroposterior colporrhaphy, including cystourethroscopy, when performed; with enterocele repair","Procedure","MIMIC4","m4_hcpcs_code",,"57265","2025-05-07","2099-12-31",
"2061507434","Etomidate 20mg/10mL Vial","Drug","MIMIC4","m4_formulary_cd",,"ETOM2I","2025-05-07","2099-12-31",
"2061507331","DRP","Unit","MIMIC4","m4_units",,"DRP","2025-05-07","2099-12-31",
"2061504961","Corpora cavernosa-corpus spongiosum shunt (priapism operation), unilateral or bilateral","Procedure","MIMIC4","m4_hcpcs_code",,"54430","2025-05-07","2099-12-31",
"2061508270","Meperidine (MEPE25I)","Drug","MIMIC4","m4_formulary_cd",,"MEPE25I","2025-05-07","2099-12-31",
"2061507438","EU/dL","Unit","MIMIC4","m4_units",,"EU/dL","2025-05-07","2099-12-31",
"2061508076","Lidocaine 2%/Epinephrine P.F.","Drug","MIMIC4","m4_formulary_cd",,"LIDEPF220I","2025-05-07","2099-12-31",
"2061502211","Applied Cognitive (AM-PAC)","Measurement","MIMIC4","m4_ditem_label",,"229635","2025-05-07","2099-12-31",
"2061508709","Nicotine Lozenge (NICO2L)","Drug","MIMIC4","m4_formulary_cd",,"NICO2L","2025-05-07","2099-12-31",
"2061500306","Allograft, morselized, or placement of osteopromotive material, for spine surgery only (List separately in addition to code for primary procedure)","Procedure","MIMIC4","m4_hcpcs_code",,"20930","2025-05-07","2099-12-31",
"2061505374","VIRAL CULTURE: R/O CYTOMEGALOVIRUS (70024)","Specimen","MIMIC4","m4_micro_spec","S","70024","2025-05-07","2099-12-31",
"2061504174","Other Cell|Other Body Fluid|Hematology","Measurement","MIMIC4","m4_lab_itemid",,"51434","2025-05-07","2099-12-31",
"2061503507","Insertion of intraperitoneal cannula or catheter for drainage or dialysis; temporary","Procedure","MIMIC4","m4_hcpcs_code",,"49420","2025-05-07","2099-12-31",
"2061503265","Esophagogastroduodenoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","Procedure","MIMIC4","m4_hcpcs_code",,"43235","2025-05-07","2099-12-31",
"2061504806","Histiocytes|Other Body Fluid|Hematology","Measurement","MIMIC4","m4_lab_itemid",,"52354","2025-05-07","2099-12-31",
"2061500164","1/4 NS","Drug","MIMIC4","m4_formulary_cd",,"1/4NS1000","2025-05-07","2099-12-31",
"2061505426","URINE,KIDNEY","Specimen","MIMIC4","m4_micro_spec",,"70080","2025-05-07","2099-12-31",
"2061501030","Ostomy Care","Observation","MIMIC4","m4_ditem_label",,"225191","2025-05-07","2099-12-31",
"2061501021","Range of Motion Status","Procedure","MIMIC4","m4_ditem_label",,"225176","2025-05-07","2099-12-31",
"2061504321","HCG, Qualitative|Blood|Chemistry","Measurement","MIMIC4","m4_lab_itemid",,"51637","2025-05-07","2099-12-31",
"2061500073","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm","Procedure","MIMIC4","m4_hcpcs_code",,"11424","2025-05-07","2099-12-31",
"2061502880","Unlisted procedure, accessory sinuses","Procedure","MIMIC4","m4_hcpcs_code",,"31299","2025-05-07","2099-12-31",
"2061503953","CD57|Blood|Hematology","Measurement","MIMIC4","m4_lab_itemid",,"51189","2025-05-07","2099-12-31",
"2061503728","Iron|Blood|Chemistry","Measurement","MIMIC4","m4_lab_itemid",,"50952","2025-05-07","2099-12-31",
"2061505074","Hysteroscopy, diagnostic (separate procedure)","Procedure","MIMIC4","m4_hcpcs_code",,"58555","2025-05-07","2099-12-31",
"2061500127","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm","Procedure","MIMIC4","m4_hcpcs_code",,"12034","2025-05-07","2099-12-31",
"2061506345","Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) f... (93458)","Procedure","MIMIC4","m4_hcpcs_code",,"93458","2025-05-07","2099-12-31",
"2061506318","Thrombolysis, coronary; by intracoronary infusion, including selective coronary angiography","Procedure","MIMIC4","m4_hcpcs_code",,"92975","2025-05-07","2099-12-31",
"2061501454","Blood Transfusion Consent","Note","MIMIC4","m4_ditem_label",,"226473","2025-05-07","2099-12-31",
"2061504105","Wright Giemsa|Bone Marrow|Hematology","Measurement","MIMIC4","m4_lab_itemid",,"51342","2025-05-07","2099-12-31",
"2061501529","PACU Drains","Measurement","MIMIC4","m4_output_itemid",,"226628","2025-05-07","2099-12-31",
"2061500416","Sodium (serum)","Measurement","MIMIC4","m4_chart_itemid",,"220645","2025-05-07","2099-12-31",
"2061503480","Transplantation of pancreatic allograft","Procedure","MIMIC4","m4_hcpcs_code",,"48554","2025-05-07","2099-12-31",
"2061501932","PAR-Activity","Measurement","MIMIC4","m4_ditem_label","S","228229","2025-05-07","2099-12-31",
"2061504941","Removal and replacement of inflatable urethral/bladder neck sphincter including pump, reservoir, and cuff at the same operative session","Procedure","MIMIC4","m4_hcpcs_code",,"53447","2025-05-07","2099-12-31",
"2061501734","Plasma Pheresis","Device","MIMIC4","m4_input_itemid",,"227532","2025-05-07","2099-12-31",
"2061507486","Fexofenadine","Drug","MIMIC4","m4_formulary_cd",,"FEXO60","2025-05-07","2099-12-31",
"2061504057","Sugar Water Test|Blood|Hematology","Measurement","MIMIC4","m4_lab_itemid",,"51293","2025-05-07","2099-12-31",
"2061506545","Anagrelide","Drug","MIMIC4","m4_formulary_cd",,"ANAG500","2025-05-07","2099-12-31",
"2061508068","L Foot","Observation","MIMIC4","m4_emar_site",,"L Foot","2025-05-07","2099-12-31",
"2061508414","mg/5 mL","Unit","MIMIC4","m4_units",,"mg/5 mL","2025-05-07","2099-12-31",
"2061504889","Lupus Anticoagulant|Blood|Hematology","Measurement","MIMIC4","m4_lab_itemid",,"52889","2025-05-07","2099-12-31",
"2061501585","AlbuminScore_ApacheIV","Measurement","MIMIC4","m4_ditem_label","S","226982","2025-05-07","2099-12-31",
"2061503206","(40 mg/mL)","Unit","MIMIC4","m4_units",,"(40 mg/mL)","2025-05-07","2099-12-31",
"2061508773","Nystatin Powder","Drug","MIMIC4","m4_formulary_cd",,"NYST100P","2025-05-07","2099-12-31",
"2061506718","*NF* Benzoyl Peroxide 5% Wash","Drug","MIMIC4","m4_formulary_cd",,"BENZLIQ","2025-05-07","2099-12-31",
"2061507058","Ureteral endoscopy through established ureterostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy","Procedure","MIMIC4","m4_hcpcs_code",,"CPT4:50957","2025-05-07","2099-12-31",
"2061504601","Nuc Rbcs#|Ascites|Hematology","Measurement","MIMIC4","m4_lab_itemid",,"52061","2025-05-07","2099-12-31",
"2061502806","Application of finger splint; static","Procedure","MIMIC4","m4_hcpcs_code",,"29130","2025-05-07","2099-12-31",
"2061506023","MYCOBACTERIUM SZULGAI","Observation","MIMIC4","m4_micro_org",,"90489","2025-05-07","2099-12-31",
"2061508254","Medroxyprogesterone Acetate (MEDR10)","Drug","MIMIC4","m4_formulary_cd",,"MEDR10","2025-05-07","2099-12-31",
"2061507163","DAILY","Observation","MIMIC4","m4_rx_frequency",,"DAILY","2025-05-07","2099-12-31",
"2061502370","Reinsertion of ruptured biceps or triceps tendon, distal, with or without tendon graft","Procedure","MIMIC4","m4_hcpcs_code",,"24342","2025-05-07","2099-12-31",
"2061502135","Extraocular Movements","Observation","MIMIC4","m4_ditem_label",,"229383","2025-05-07","2099-12-31",
"2061502789","Arthrodesis; triple","Procedure","MIMIC4","m4_hcpcs_code",,"28715","2025-05-07","2099-12-31",
"2061500890","SBT Deferred","Observation","MIMIC4","m4_ditem_label","S","224833","2025-05-07","2099-12-31",
"2061505756","LINEZOLID","Measurement","MIMIC4","m4_micro_ab",,"90031","2025-05-07","2099-12-31",
"2061501221","Dialysis Catheter Discontinued","Observation","MIMIC4","m4_ditem_label","S","225740","2025-05-07","2099-12-31",
"2061503479","Backbench standard preparation of cadaver donor pancreas allograft prior to transplantation, including dissection of allograft from surrounding soft tissues, splenectomy, duodenotomy, ligation of bile duct, ligation of mesenteric vessels, and Y-graft arte","Procedure","MIMIC4","m4_hcpcs_code",,"48551","2025-05-07","2099-12-31",
"2061504747","Promyelocytes|Cerebrospinal Fluid|Hematology","Measurement","MIMIC4","m4_lab_itemid",,"52283","2025-05-07","2099-12-31",
"2061504714","Atypical Lymphocytes|Cerebrospinal Fluid|Hematology","Measurement","MIMIC4","m4_lab_itemid",,"52221","2025-05-07","2099-12-31",
