concept_id,concept_synonym_name,language_concept_id
"2061500366","General|Problem List","4180186"
"2061500368","Routine Vital Signs|Heart Rate","4180186"
"2061500369","Alarms|Heart rate Alarm - High","4180186"
"2061500370","Alarms|Heart Rate Alarm - Low","4180186"
"2061500371","Routine Vital Signs|Heart Rhythm","4180186"
"2061500372","Routine Vital Signs|Arterial Blood Pressure systolic","4180186"
"2061500373","Routine Vital Signs|Arterial Blood Pressure diastolic","4180186"
"2061500374","Routine Vital Signs|Arterial Blood Pressure mean","4180186"
"2061500375","Alarms|Arterial Blood Pressure Alarm - Low","4180186"
"2061500376","Alarms|Arterial Blood Pressure Alarm - High","4180186"
"2061500377","Hemodynamics|Pulmonary Artery Pressure systolic","4180186"
"2061500378","Hemodynamics|Pulmonary Artery Pressure diastolic","4180186"
"2061500379","Hemodynamics|Pulmonary Artery Pressure mean","4180186"
"2061500380","Hemodynamics|Central Venous Pressure","4180186"
"2061500381","Hemodynamics|Cardiac Output (thermodilution)","4180186"
"2061500382","IABP|Intra Aortic Ballon Pump Setting","4180186"
"2061500383","Hemodynamics|Left Ventricular Assit Device Flow","4180186"
"2061500384","Hemodynamics|Right Ventricular Assist Device Flow","4180186"
"2061500386","Routine Vital Signs|Non Invasive Blood Pressure systolic","4180186"
"2061500387","Routine Vital Signs|Non Invasive Blood Pressure diastolic","4180186"
"2061500388","Routine Vital Signs|Non Invasive Blood Pressure mean","4180186"
"2061500389","Cardiovascular (Pacer Data)|Temporary AV interval","4180186"
"2061500390","Respiratory|Respiratory Rate","4180186"
"2061500391","Labs|Arterial O2 pressure","4180186"
"2061500392","Labs|Arterial O2 Saturation","4180186"
"2061500393","Labs|Hemoglobin","4180186"
"2061500394","Labs|Arterial CO2 Pressure","4180186"
"2061500395","Respiratory|CO2 production","4180186"
"2061500396","Labs|PH (Venous)","4180186"
"2061500397","Respiratory|O2 saturation pulseoxymetry","4180186"
"2061500398","Respiratory|Resistance","4180186"
"2061500399","Alarms|Minute Volume Alarm - Low","4180186"
"2061500400","Alarms|Minute Volume Alarm - High","4180186"
"2061500401","Respiratory|PEEP set","4180186"
"2061500402","Labs|Activated Clotting Time","4180186"
"2061500403","Labs|Hematocrit (serum)","4180186"
"2061500404","Labs|WBC","4180186"
"2061500405","Labs|Ammonia","4180186"
"2061500406","Labs|Amylase","4180186"
"2061500407","Labs|AST","4180186"
"2061500408","Labs|Chloride (serum)","4180186"
"2061500409","Labs|Cholesterol","4180186"
"2061500410","Labs|Creatinine (serum)","4180186"
"2061500411","Labs|Glucose (serum)","4180186"
"2061500412","Labs|HDL","4180186"
"2061500413","Labs|LDH","4180186"
"2061500414","Labs|Magnesium","4180186"
"2061500415","Labs|ALT","4180186"
"2061500416","Labs|Sodium (serum)","4180186"
"2061500417","Labs|Total Protein","4180186"
"2061500418","Labs|PH (dipstick)","4180186"
"2061500419","Neurological|GCS - Eye Opening","4180186"
"2061500420","Hemodynamics|Intra Cranial Pressure","4180186"
"2061500422","Blood Products/Colloids|Albumin 25%","4180186"
"2061500424","Blood Products/Colloids|Albumin 5%","4180186"
"2061500425","Fluids/Intake|Dextrose 5%","4180186"
"2061500426","Fluids/Intake|Dextrose 10%","4180186"
"2061500427","Fluids/Intake|Dextrose 50%","4180186"
"2061500428","Blood Products/Colloids|Fresh Frozen Plasma","4180186"
"2061500435","Medications|Sodium Bicarbonate 8.4%","4180186"
"2061500440","5-Imaging|CT scan","4180186"
"2061500441","5-Imaging|Ultrasound","4180186"
"2061500442","5-Imaging|Venogram","4180186"
"2061500443","4-Procedures|EEG","4180186"
