mapping_concept_id,mapping_concept_code,confidence,predicate_id,mapping_justification,mapping_provider,author_id,author_label,reviewer_id,reviewer_label,mapping_tool,mapping_tool_version
"5996","53089|| - ||MIMIC4|| - ||1975-2|| - ||LOINC","1","skos:closeMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","6","Abdulrahman Chahin","5","Polina Talapova",,
"6014","53137|| - ||MIMIC4|| - ||20450-3|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6015","53138|| - ||MIMIC4|| - ||2862-1|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6016","53139|| - ||MIMIC4|| - ||1763-2|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6017","53140|| - ||MIMIC4|| - ||1763-2|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6018","53142|| - ||MIMIC4|| - ||1825-9|| - ||LOINC","1","skos:exactMatch","semapv:LexicalSimilarityThresholdMatching","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6020","53145|| - ||MIMIC4|| - ||49774-3|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6021","53146|| - ||MIMIC4|| - ||13951-9|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6022","53147|| - ||MIMIC4|| - ||13952-7|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6023","53148|| - ||MIMIC4|| - ||13953-5|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6024","53149|| - ||MIMIC4|| - ||5193-8|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6025","53150|| - ||MIMIC4|| - ||10900-9|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"6026","53151|| - ||MIMIC4|| - ||8094-5|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4087","35190|| - ||MIMIC4|| - ||35190|| - ||CPT4","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"11000","UAP|| - ||MIMIC4|| - ||61002-2|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","6","Abdulrahman Chahin","7","Xavier Borrat",,
"4668","50810|| - ||MIMIC4|| - ||32354-3|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4713","50852|| - ||MIMIC4|| - ||4548-4|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4719","50858|| - ||MIMIC4|| - ||1715-2|| - ||LOINC","1","skos:exactMatch","semapv:LexicalSimilarityThresholdMatching","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4720","50859|| - ||MIMIC4|| - ||12173-1|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4721","50860|| - ||MIMIC4|| - ||1834-1|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
