source_code,source_concept_id,source_vocabulary_id,source_code_description,relationship_id,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"SENN187","2061509348","MIMIC4","Senna 1 Tablet","Maps to","938330","RxNorm","2025-05-07","2099-12-31",
"227791","2061501827","MIMIC4","Impaired Skin - Dressing Change #2","Maps to","2061501827","MIMIC4","2025-05-07","2099-12-31",
"LEVE100L","2061508041","MIMIC4","LeVETiracetam Solution 100mg/mL Solution","Maps to","19102504","RxNorm","2025-05-07","2099-12-31",
"PYRI25","2061509085","MIMIC4","Pyridoxine HCl (PYRI25)","Maps to","19005046","RxNorm","2025-05-07","2099-12-31",
"50988","2061503761","MIMIC4","Testosterone|Blood|Chemistry","Maps to","3008893","LOINC","2025-05-07","2099-12-31",
"227802","2061501837","MIMIC4","GI Guaiac QC","Maps to","2061501837","MIMIC4","2025-05-07","2099-12-31",
"CHL500I","2061506939","MIMIC4","Chlorothiazide Sodium (CHL500I)","Maps to","992590","RxNorm","2025-05-07","2099-12-31",
"AUGM50L","2061506637","MIMIC4","Amoxicillin-Clavulanate Desensitization (AUGM50L)","Maps to","1759842","RxNorm","2025-05-07","2099-12-31",
"15999","2061500228","MIMIC4","Unlisted procedure, excision pressure ulcer","Maps to","2102558","CPT4","2025-05-07","2099-12-31",
"80021","2061505464","MIMIC4","SHIGELLA FLEXNERI","Maps to","4311807","SNOMED","2025-05-07","2099-12-31",
"224758","2061500855","MIMIC4","RUE Sensation","Maps to","2061500855","MIMIC4","2025-05-07","2099-12-31",
"CPT4:52214","2061507076","MIMIC4","Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) of trigone, bladder neck, prostatic fossa, urethra, or periurethral glands","Maps to","2109772","CPT4","2025-05-07","2099-12-31",
"221393","2061500452","MIMIC4","Atropine","Maps to","914335","RxNorm","2025-05-07","2099-12-31",
"31613","2061502906","MIMIC4","Tracheostoma revision; simple, without flap rotation","Maps to","2106570","CPT4","2025-05-07","2099-12-31",
"224331","2061500725","MIMIC4","PCA basal rate (mL/hour)","Maps to","2061500725","MIMIC4","2025-05-07","2099-12-31",
"ANTERIOR CHEST","2061506553","MIMIC4","anterior chest","Maps to","4273089","SNOMED","2025-05-07","2099-12-31",
"44602","2061503366","MIMIC4","Suture of small intestine (enterorrhaphy) for perforated ulcer, diverticulum, wound, injury or rupture; single perforation","Maps to","2109116","CPT4","2025-05-07","2099-12-31",
"Q6WEEKS","2061509126","MIMIC4","Q6WEEKS","Maps to","4145091","SNOMED","2025-05-07","2099-12-31",
"GLU125/250","2061507629","MIMIC4","Glyburide/Metformin (1.25mg-250mg)","Maps to","1559684","RxNorm","2025-05-07","2099-12-31",
"WFDB.SIGNAL.ADC.CALIBRATION.ABPMEAN","2061509849","MIMIC4","WFDB signal A/D converter calibration in ABPMEAN","Maps to","2061509849","MIMIC4","2025-05-07","2099-12-31",
"CIME300","2061506960","MIMIC4","Cimetidine 300MG TAB","Maps to","19018874","RxNorm","2025-05-07","2099-12-31",
"225844","2061501288","MIMIC4","Atovaquone","Maps to","1781733","RxNorm","2025-05-07","2099-12-31",
"GEMT5I","2061507603","MIMIC4","Gemtuzumab Ozogamicin","Maps to","42799711","RxNorm","2025-05-07","2099-12-31",
"29806","2061502811","MIMIC4","Arthroscopy, shoulder, surgical; capsulorrhaphy","Maps to","2105939","CPT4","2025-05-07","2099-12-31",
"50889","2061503669","MIMIC4","C-Reactive Protein|Blood|Chemistry","Maps to","3020460","LOINC","2025-05-07","2099-12-31",
"36830","2061503093","MIMIC4","Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); nonautogenous graft (eg, biological collagen, thermoplastic graft)","Maps to","4331729","SNOMED","2025-05-07","2099-12-31",
"G0379","2061507588","MIMIC4","Direct admission of patient for hospital observation care","Maps to","2617453","HCPCS","2025-05-07","2099-12-31",
"225103","2061500983","MIMIC4","Intravenous / IV access prior to admission","Maps to","2061500983","MIMIC4","2025-05-07","2099-12-31",
"FOM1GI","2061507539","MIMIC4","Fomepizole","Maps to","19022479","RxNorm","2025-05-07","2099-12-31",
"34841","2061503010","MIMIC4","Endovascular repair of visceral aorta (eg, aneurysm, pseudoaneurysm, dissection, penetrating ulcer, intramural hematoma, or traumatic disruption) by deployment of a fenestrated visceral aortic endograft and all associated radiological supervision and inte","Maps to","44816390","CPT4","2025-05-07","2099-12-31",
"NG/ML FEU","2061508692","MIMIC4","ng/mL FEU","Maps to","32707","UCUM","2025-05-07","2099-12-31",
"225348","2061501093","MIMIC4","Midline Tubing Change","Maps to","2061501093","MIMIC4","2025-05-07","2099-12-31",
"(25 MG/ML)","2061502474","MIMIC4","(25 mg/mL)","Maps to","8861","UCUM","2025-05-07","2099-12-31",
"HALO10","2061507689","MIMIC4","Haloperidol (HALO10)","Maps to","766529","RxNorm","2025-05-07","2099-12-31",
"43255","2061503284","MIMIC4","Esophagogastroduodenoscopy, flexible, transoral; with control of bleeding, any method","Maps to","2108900","CPT4","2025-05-07","2099-12-31",
"19303","2061500248","MIMIC4","Mastectomy, simple, complete","Maps to","4066543","SNOMED","2025-05-07","2099-12-31",
"CAMP200I","2061506850","MIMIC4","Irinotecan","Maps to","1367268","RxNorm","2025-05-07","2099-12-31",
"92960","2061506315","MIMIC4","Cardioversion, elective, electrical conversion of arrhythmia; external","Maps to","2313791","CPT4","2025-05-07","2099-12-31",
"32561","2061502958","MIMIC4","Instillation(s), via chest tube/catheter, agent for fibrinolysis (eg, fibrinolytic agent for break up of multiloculated effusion); initial day","Maps to","40757023","CPT4","2025-05-07","2099-12-31",
"226541","2061501472","MIMIC4","ScvO2 Central Venous O2% Sat","Maps to","1616373","LOINC","2025-05-07","2099-12-31",
"MEPE500PCA","2061508272","MIMIC4","Meperidine (MEPE500PCA)","Maps to","1102527","RxNorm","2025-05-07","2099-12-31",
"TOPR100","2061509606","MIMIC4","Metoprolol XL 100mg XL Tab","Maps to","40166824","RxNorm","2025-05-07","2099-12-31",
"11300","2061500063","MIMIC4","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.5 cm or less","Maps to","2101947","CPT4","2025-05-07","2099-12-31",
"CEFA1I","2061506894","MIMIC4","Cefazolin (CEFA1I)","Maps to","1771162","RxNorm","2025-05-07","2099-12-31",
"52093","2061504625","MIMIC4","CD56 Absolute Count|Blood|Hematology","Maps to","3026757","LOINC","2025-05-07","2099-12-31",
"223796","2061500518","MIMIC4","Untoward Effect","Maps to","4010337","SNOMED","2025-05-07","2099-12-31",
"QSUN","2061509148","MIMIC4","QSUN","Maps to","762153","SNOMED","2025-05-07","2099-12-31",
"90080","2061505779","MIMIC4","TISSUE CULTURE-TISSUE","Maps to","4300293","SNOMED","2025-05-07","2099-12-31",
"76080","2061505442","MIMIC4","Radiologic examination, abscess, fistula or sinus tract study, radiological supervision and interpretation","Maps to","2211688","CPT4","2025-05-07","2099-12-31",
"50384","2061503558","MIMIC4","Removal (via snare/capture) of internally dwelling ureteral stent via percutaneous approach, including radiological supervision and interpretation","Maps to","2109591","CPT4","2025-05-07","2099-12-31",
"224831","2061500888","MIMIC4","Trach Tube Size (I.D.)","Maps to","36305611","LOINC","2025-05-07","2099-12-31",
"PYRI10/100L","2061509081","MIMIC4","Pyrimethamine Desensitization (PYRI10/100L)","Maps to","1760039","RxNorm","2025-05-07","2099-12-31",
"WFDB.SIGNAL.NFRAGMENTS.ABPMEAN","2061510052","MIMIC4","WFDB signal number of fragments in ABPMEAN","Maps to","2061510052","MIMIC4","2025-05-07","2099-12-31",
"76965","2061505444","MIMIC4","Ultrasonic guidance for interstitial radioelement application","Maps to","2211789","CPT4","2025-05-07","2099-12-31",
"23473","2061502334","MIMIC4","Revision of total shoulder arthroplasty, including allograft when performed; humeral or glenoid component","Maps to","43527892","CPT4","2025-05-07","2099-12-31",
"CALF","2061506847","MIMIC4","CALF","Maps to","4201893","SNOMED","2025-05-07","2099-12-31",
"36580","2061503081","MIMIC4","Replacement, complete, of a non-tunneled centrally inserted central venous catheter, without subcutaneous port or pump, through same venous access","Maps to","2108225","CPT4","2025-05-07","2099-12-31",
"32650","2061502964","MIMIC4","Thoracoscopy, surgical; with pleurodesis (eg, mechanical or chemical)","Maps to","4244210","SNOMED","2025-05-07","2099-12-31",
"TAXO30I","2061509505","MIMIC4","Paclitaxel 6mg/mL-5mL","Maps to","1378385","RxNorm","2025-05-07","2099-12-31",
"90536","2061506048","MIMIC4","ESCHERICHIA COLI O157:H7","Maps to","43020674","SNOMED","2025-05-07","2099-12-31",
"SIRO8L","2061509403","MIMIC4","Sirolimus (SIRO8L)","Maps to","19034726","RxNorm","2025-05-07","2099-12-31",
"224152","2061500661","MIMIC4","Return Pressure","Maps to","2061500661","MIMIC4","2025-05-07","2099-12-31",
"50996","2061503769","MIMIC4","Tissue Transglutaminase Ab, IgA|Blood|Chemistry","Maps to","3019050","LOINC","2025-05-07","2099-12-31",
"OSEL12L","2061508816","MIMIC4","Oseltamivir (OSEL12L)","Maps to","1799139","RxNorm","2025-05-07","2099-12-31",
"227121","2061501638","MIMIC4","Pupil Response Right","Maps to","21490963","LOINC","2025-05-07","2099-12-31",
"RIGHT FOOT","2061509237","MIMIC4","Right Foot","Maps to","4298982","SNOMED","2025-05-07","2099-12-31",
"CANGIND","2061506854","MIMIC4","Cangrelor Study Drug (*IND*)","Maps to","46275677","RxNorm","2025-05-07","2099-12-31",
"L/MIN/M2","2061508135","MIMIC4","L/min/m2","Maps to","32710","UCUM","2025-05-07","2099-12-31",
"LIDX60C","2061508102","MIMIC4","Fluocinonide 0.05% Cream","Maps to","955252","RxNorm","2025-05-07","2099-12-31",
"CPT4:52352","2061507100","MIMIC4","Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with removal or manipulation of calculus (ureteral catheterization is included)","Maps to","2109816","CPT4","2025-05-07","2099-12-31",
"52066","2061504606","MIMIC4","Voided Specimen (52066)","Maps to","42530744","LOINC","2025-05-07","2099-12-31",
"226116","2061501409","MIMIC4","Presep Catheter placed in outside facility","Maps to","2061501409","MIMIC4","2025-05-07","2099-12-31",
"CYAN100","2061507118","MIMIC4","Cyanocobalamin 100 mcg Tablet","Maps to","19075955","RxNorm","2025-05-07","2099-12-31",
