ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
4043369,2072499987,1,1
4081912,2072499986,8,8
4086154,2072499986,9,9
4086154,2072499987,2,2
4111207,2072499986,7,7
4117957,2072499987,2,2
4150851,2072499986,6,6
4153980,2072499986,1,1
4181663,2072499986,10,10
4181663,2072499987,3,4
4181663,2072499995,3,5
4181664,2072499995,4,4
4190745,2072499987,3,3
4239425,2072499995,2,2
4239430,2072499986,4,4
4239431,2072499986,3,3
4239432,2072499986,2,2
4239747,2072499995,3,3
4239755,2072499986,5,5
37158264,2072499995,2,2
37399733,2072499995,1,1
2072499963,2072499963,0,0
2072499964,2072499964,0,0
2072499965,2072499965,0,0
2072499966,2072499966,0,0
2072499967,2072499967,0,0
2072499968,2072499968,0,0
2072499969,2072499969,0,0
2072499970,2072499970,0,0
2072499971,2072499971,0,0
2072499972,2072499972,0,0
2072499973,2072499973,0,0
2072499974,2072499974,0,0
2072499975,2072499975,0,0
2072499976,2072499976,0,0
2072499977,2072499977,0,0
2072499978,2072499978,0,0
2072499979,2072499979,0,0
2072499980,4154757,1,1
2072499980,2072499980,0,0
2072499981,2072499981,0,0
2072499982,2072499982,0,0
2072499983,2072499983,0,0
2072499984,2072499984,0,0
2072499985,2072499985,0,0
2072499986,2072499986,0,0
2072499987,2072499987,0,0
2072499988,44807161,1,1
2072499988,2072499988,0,0
2072499989,2072499989,0,0
2072499990,2072499990,0,0
2072499991,2072499991,0,0
2072499992,2072499992,0,0
2072499993,2072499993,0,0
2072499994,2072499994,0,0
2072499995,2072499995,0,0
2072499996,2072499996,0,0
2072499997,2072499997,0,0
2072499998,2072499998,0,0
