concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
605634,2071500063,Mapped from,2025-04-01,2099-12-31,
742592,2071500018,Mapped from,2025-04-01,2099-12-31,
742593,2071500019,Mapped from,2025-04-01,2099-12-31,
3035486,2071500071,Mapped from,2025-04-01,2099-12-31,
3049169,2071500036,Mapped from,2025-04-01,2099-12-31,
3654719,2071500007,Mapped from,2025-04-01,2099-12-31,
3655507,2071500049,Mapped from,2025-04-01,2099-12-31,
3655548,2071500022,Mapped from,2025-04-01,2099-12-31,
4043369,2072499987,Subsumes,2025-04-01,2099-12-31,
4128244,2071500009,Mapped from,2025-04-01,2099-12-31,
4153980,2072499986,Subsumes,2025-04-01,2099-12-31,
4154757,2072499980,Is a,2025-04-01,2099-12-31,
4155657,2071500015,Mapped from,2025-04-01,2099-12-31,
4157230,2071500006,Mapped from,2025-04-01,2099-12-31,
4159568,2071500027,Mapped from,2025-04-01,2099-12-31,
4159696,2071500033,Mapped from,2025-04-01,2099-12-31,
4159706,2071500036,Mapped from,2025-04-01,2099-12-31,
4159709,2071500039,Mapped from,2025-04-01,2099-12-31,
4164838,2071500030,Mapped from,2025-04-01,2099-12-31,
4165613,2071500073,Mapped from,2025-04-01,2099-12-31,
4167594,2071500002,Mapped from,2025-04-01,2099-12-31,
4169175,2071500043,Mapped from,2025-04-01,2099-12-31,
36304859,2071500010,Mapped from,2025-04-01,2099-12-31,
36684916,2071500062,Mapped from,2025-04-01,2099-12-31,
36713656,2071500071,Mapped from,2025-04-01,2099-12-31,
37017073,2071500044,Mapped from,2025-04-01,2099-12-31,
37157670,2071500038,Mapped from,2025-04-01,2099-12-31,
37157688,2071500024,Mapped from,2025-04-01,2099-12-31,
37310582,2071500060,Mapped from,2025-04-01,2099-12-31,
37396119,2071500005,Mapped from,2025-04-01,2099-12-31,
37399733,2072499995,Subsumes,2025-04-01,2099-12-31,
40486423,2071500047,Mapped from,2025-04-01,2099-12-31,
40488390,2071500045,Mapped from,2025-04-01,2099-12-31,
40758878,2071500051,Mapped from,2025-04-01,2099-12-31,
40772147,2071500053,Mapped from,2025-04-01,2099-12-31,
40772159,2071500035,Mapped from,2025-04-01,2099-12-31,
42527979,2071500049,Mapped from,2025-04-01,2099-12-31,
42528829,2071500027,Mapped from,2025-04-01,2099-12-31,
42868695,2071500061,Mapped from,2025-04-01,2099-12-31,
42869702,2071500063,Mapped from,2025-04-01,2099-12-31,
42869861,2071500043,Mapped from,2025-04-01,2099-12-31,
42870296,2071500030,Mapped from,2025-04-01,2099-12-31,
42873028,2071500031,Mapped from,2025-04-01,2099-12-31,
42873108,2071500021,Mapped from,2025-04-01,2099-12-31,
43054876,2071500048,Mapped from,2025-04-01,2099-12-31,
43055202,2071500044,Mapped from,2025-04-01,2099-12-31,
44783153,2071500057,Mapped from,2025-04-01,2099-12-31,
44804610,2071500052,Mapped from,2025-04-01,2099-12-31,
44807161,2072499988,Is a,2025-04-01,2099-12-31,
44808666,2071500048,Mapped from,2025-04-01,2099-12-31,
44809413,2071500051,Mapped from,2025-04-01,2099-12-31,
44809983,2071500020,Mapped from,2025-04-01,2099-12-31,
45772733,2071500035,Mapped from,2025-04-01,2099-12-31,
46234681,2071500006,Mapped from,2025-04-01,2099-12-31,
2071500001,2072499998,Maps to,2025-04-01,2099-12-31,
2071500002,4167594,Maps to,2025-04-01,2099-12-31,
2071500003,2072499997,Maps to,2025-04-01,2099-12-31,
2071500004,2072499996,Maps to,2025-04-01,2099-12-31,
2071500005,37396119,Maps to,2025-04-01,2099-12-31,
2071500006,4157230,Maps to,2025-04-01,2099-12-31,
