concept_id,concept_synonym_name,language_concept_id
2071500001,ABC,4180186
2071500002,AIMS,4180186
2071500003,ANSA,4180186
2071500004,ACES,4180186
2071500005,ACE-IQ,4180186
2071500006,AUDIT,4180186
2071500007,ASRM,4180186
2071500008,ASQ,4180186
2071500009,BAI,4180186
2071500010,BDI-II,4180186
2071500011,BASIS-24,4180186
2071500012,BAM,4180186
2071500013,BDSS,4180186
2071500014,BNSA,4180186
2071500015,BPRS,4180186
2071500016,CANS,4180186
2071500017,CGI-E,4180186
2071500018,CGI-I,4180186
2071500019,CGI-S,4180186
2071500020,CIWA,4180186
2071500021,COWS,4180186
2071500022,C-SSRS,4180186
2071500023,CAM,4180186
2071500024,Conners Comprehensive Behaviour Rating Scale (CBRS),4180186
2071500025,DLA-20,4180186
2071500026,DGS,4180186
2071500027,DAST,4180186
2071500028,Child 6-17,4180186
2071500029,DM-TRD,4180186
2071500030,EPDS,4180186
2071500031,ESAS,4180186
2071500032,EM-SART,4180186
2071500033,FTND,4180186
2071500034,FAS,4180186
2071500035,GAD-7,4180186
2071500036,GDS,4180186
2071500037,GAF,4180186
2071500038,HAM-A,4180186
2071500039,HAM-D,4180186
2071500040,HRS,4180186
2071500041,MSM,4180186
2071500042,MSE,4180186
2071500043,MMSE,4180186
2071500044,Mini-Cog,4180186
2071500045,MCHAT,4180186
2071500046,MOAS,4180186
2071500047,MADRS,4180186
2071500048,MoCA,4180186
2071500049,MDQ,4180186
2071500050,NICHQ,4180186
2071500051,PHQ-2,4180186
2071500052,PHQ-9,4180186
2071500053,PHQ,4180186
2071500054,PSS-3,4180186
2071500055,PROMIS,4180186
2071500056,PSC-17,4180186
2071500057,PSQI,4180186
2071500058,PSRS,4180186
2071500059,PSRS/BNSA,4180186
2071500060,PCL-5,4180186
2071500061,PCL-C,4180186
2071500062,QIDS,4180186
2071500063,SLUMS,4180186
2071500064,SANS,4180186
2071500065,SAPS,4180186
2071500066,SCARED,4180186
2071500067,SPRINT,4180186
2071500068,SOCRATES,4180186
2071500069,TWSTRS,4180186
2071500070,URICA,4180186
2071500071,FACES,4180186
2071500072,ZBI,4180186
2071500073,SRS,4180186
2072499963,ZBI,4180186
2072499964,URICA,4180186
2072499965,TWSTRS,4180186
2072499966,SOCRATES,4180186
2072499967,SPRINT,4180186
2072499968,SCARED,4180186
2072499969,SAPS,4180186
2072499970,SANS,4180186
2072499971,PSRS,4180186
2072499972,PSC-17,4180186
2072499973,PROMIS,4180186
2072499974,PSS-3,4180186
2072499975,NICHQ,4180186
2072499976,MOAS,4180186
2072499977,MSE,4180186
2072499978,MSM,4180186
2072499979,HRS,4180186
2072499980,GAF,4180186
2072499981,FAS,4180186
2072499982,EM-SART,4180186
2072499983,PSRS/BNSA,4180186
2072499984,DM-TRD,4180186
2072499985,Child 6-17,4180186
2072499986,DGS,4180186
2072499987,DLA-20,4180186
2072499988,CAM,4180186
2072499989,CGI-E,4180186
2072499990,CANS,4180186
2072499991,BNSA,4180186
2072499992,BDSS,4180186
2072499993,BAM,4180186
2072499994,BASIS-24,4180186
2072499995,ASQ,4180186
2072499996,ACES,4180186
2072499997,ANSA,4180186
2072499998,ABC,4180186
