source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
PSYWG10001,2071500001,PSYCHIATRY,Aberrant Behavior Checklist (ABC),2072499998,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10002,2071500002,PSYCHIATRY,Abnormal Involuntary Movements Scale (AIMS),4167594,SNOMED,2025-04-01,2099-12-31,
PSYWG10003,2071500003,PSYCHIATRY,Adult Needs & Strengths Assessment (ANSA),2072499997,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10004,2071500004,PSYCHIATRY,Adverse Childhood Events (ACES),2072499996,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10005,2071500005,PSYCHIATRY,Adverse Childhood Events International Questionnaire (ACE-IQ),37396119,SNOMED,2025-04-01,2099-12-31,
PsyWG10006,2071500006,PSYCHIATRY,Alcohol Use Disorder Identification Test (AUDIT),4157230,SNOMED,2025-04-01,2099-12-31,
PsyWG10006,2071500006,PSYCHIATRY,Alcohol Use Disorder Identification Test (AUDIT),46234681,LOINC,2025-04-01,2099-12-31,
PsyWG10007,2071500007,PSYCHIATRY,Altman Self-Rating Mania Scale (ASRM),3654719,SNOMED,2025-04-01,2099-12-31,
PSYWG10008,2071500008,PSYCHIATRY,Ask Suicide Screening Questions (ASQ),2072499995,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10009,2071500009,PSYCHIATRY,Beck Anxiety Inventory (BAI),4128244,SNOMED,2025-04-01,2099-12-31,
PsyWG10010,2071500010,PSYCHIATRY,Beck Depression Inventory II (BDI-II),36304859,LOINC,2025-04-01,2099-12-31,
PSYWG10011,2071500011,PSYCHIATRY,Behavior and Symptom Identification Scale 24 (BASIS-24),2072499994,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10012,2071500012,PSYCHIATRY,Brief Addiction Monitor (BAM),2072499993,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10013,2071500013,PSYCHIATRY,Brief Bipolar Disorder Symptom Scale (BDSS),2072499992,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10014,2071500014,PSYCHIATRY,Brief Negative Symptoms Assessment (BNSA),2072499991,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10015,2071500015,PSYCHIATRY,Brief Psychiatric Rating Scale (BPRS),4155657,SNOMED,2025-04-01,2099-12-31,
PSYWG10016,2071500016,PSYCHIATRY,Childhood Assessment of Needs & Strengths (CANS),2072499990,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10017,2071500017,PSYCHIATRY,Clinical Global Impression Scale - Efficacy Module (CGI-E),2072499989,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10018,2071500018,PSYCHIATRY,Clinical Global Impression Scale - Improvement Module (CGI-I),742592,OMOP Extension,2025-04-01,2099-12-31,
PsyWG10019,2071500019,PSYCHIATRY,Clinical Global Impression Scale - Severity Module (CGI-S),742593,OMOP Extension,2025-04-01,2099-12-31,
PsyWG10020,2071500020,PSYCHIATRY,Clinical Institute Withdrawal Assessment for Alcohol (CIWA),44809983,SNOMED,2025-04-01,2099-12-31,
PsyWG10021,2071500021,PSYCHIATRY,Clinical Opiate Withdrawal Scale (COWS),42873108,SNOMED,2025-04-01,2099-12-31,
PsyWG10022,2071500022,PSYCHIATRY,Columbia Suicide Severity Rating Scale (C-SSRS),3655548,SNOMED,2025-04-01,2099-12-31,
PSYWG10023,2071500023,PSYCHIATRY,Confusion Assessment Method (CAM),2072499988,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10024,2071500024,PSYCHIATRY,Conners Rating Scale,37157688,SNOMED,2025-04-01,2099-12-31,
PSYWG10025,2071500025,PSYCHIATRY,Daily Living Activities 20 (DLA-20),2072499987,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10026,2071500026,PSYCHIATRY,Digit Span Test (DGS),2072499986,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10027,2071500027,PSYCHIATRY,Drug Abuse Screening Test (DAST),4159568,SNOMED,2025-04-01,2099-12-31,
PsyWG10027,2071500027,PSYCHIATRY,Drug Abuse Screening Test (DAST),42528829,LOINC,2025-04-01,2099-12-31,
