message,count
Standard custom concepts to insert into CONCEPT:,36
Non-standard concept ids to insert into CONCEPT:,73
Standard relationships to insert into CONCEPT RELATIONSHIP:,82
Non-standard relationships to insert into CONCEPT RELATIONSHIP:,170
Standard hierarchy rows to insert into CONCEPT ANCESTOR:,59
Synonym rows to insert into CONCEPT SYNONYM:,109
Mapping relationships (S & NS) to insert into SOURCE TO CONCEPT MAP:,85
Mappings of existing concepts that require an update:,0
Existing mappings that require deprecation:,0
Smallest Standard Custom Id Assigned in Update:,2072499963
Largest Standard Custom Id Assigned in Update:,2072499998
Number of Custom Concept Ids to Assign:,36
Smallest Non-Standard Concept Id Assigned in Update:,2071500001
Largest Non-Standard Concept Id Assigned in Update:,2071500073
Number of Non-Standard Concept Ids to Assign:,73
Number of Mapping Metadata Entries to Create:,85
