ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
2082499891,2082499891,0,0
2082499892,2082499892,0,0
2082499893,2082499893,0,0
2082499894,2082499894,0,0
2082499895,2082499895,0,0
2082499896,2082499896,0,0
2082499897,2082499897,0,0
2082499898,2082499898,0,0
2082499899,2082499899,0,0
2082499900,2082499900,0,0
2082499901,2082499901,0,0
2082499902,2082499902,0,0
2082499903,2082499903,0,0
2082499904,2082499904,0,0
2082499905,2082499905,0,0
2082499906,2082499906,0,0
2082499907,2082499907,0,0
2082499908,2082499908,0,0
2082499909,2082499909,0,0
2082499910,2082499910,0,0
2082499911,2082499911,0,0
2082499912,2082499912,0,0
2082499913,2082499913,0,0
2082499914,2082499914,0,0
2082499915,2082499915,0,0
2082499916,2082499916,0,0
2082499917,2082499917,0,0
2082499918,2082499918,0,0
2082499919,2082499919,0,0
2082499920,2082499920,0,0
2082499921,2082499921,0,0
2082499922,2082499922,0,0
2082499923,2082499923,0,0
2082499924,2082499924,0,0
2082499925,2082499925,0,0
2082499926,2082499926,0,0
2082499927,2082499927,0,0
2082499928,2082499928,0,0
2082499929,2082499929,0,0
2082499930,2082499930,0,0
2082499931,2082499931,0,0
2082499932,2082499932,0,0
2082499933,2082499933,0,0
2082499934,2082499934,0,0
2082499935,2082499935,0,0
2082499936,2082499936,0,0
2082499937,2082499937,0,0
2082499938,2082499938,0,0
2082499939,2082499939,0,0
2082499940,2082499940,0,0
2082499941,2082499941,0,0
2082499942,2082499942,0,0
2082499943,2082499943,0,0
2082499944,2082499944,0,0
2082499945,2082499945,0,0
2082499946,2082499946,0,0
2082499947,2082499947,0,0
2082499948,2082499948,0,0
2082499949,2082499949,0,0
2082499950,2082499950,0,0
2082499951,2082499951,0,0
2082499952,2082499952,0,0
2082499953,2082499953,0,0
2082499954,2082499954,0,0
2082499955,2082499955,0,0
2082499956,2082499956,0,0
2082499957,2082499957,0,0
2082499958,2082499958,0,0
2082499959,2082499959,0,0
2082499960,2082499960,0,0
2082499961,2082499961,0,0
2082499962,2082499962,0,0
2082499963,2082499963,0,0
2082499964,2082499964,0,0
2082499965,2082499965,0,0
2082499966,2082499966,0,0
2082499967,2082499967,0,0
2082499968,2082499968,0,0
2082499969,2082499969,0,0
2082499970,2082499970,0,0
2082499971,2082499971,0,0
2082499972,2082499972,0,0
2082499973,2082499973,0,0
2082499974,2082499974,0,0
2082499975,2082499975,0,0
2082499976,2082499976,0,0
2082499977,2082499977,0,0
2082499978,2082499978,0,0
2082499979,2082499979,0,0
2082499980,2082499980,0,0
2082499981,2082499981,0,0
2082499982,2082499982,0,0
2082499983,2082499983,0,0
2082499984,2082499984,0,0
2082499985,2082499985,0,0
2082499986,2082499986,0,0
2082499987,2082499987,0,0
2082499988,2082499988,0,0
2082499989,2082499989,0,0
2082499990,2082499990,0,0
2082499991,2082499991,0,0
2082499992,2082499992,0,0
2082499993,2082499993,0,0
2082499994,2082499994,0,0
2082499995,2082499995,0,0
2082499996,2082499996,0,0
2082499997,2082499997,0,0
2082499998,2082499998,0,0
