concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2081500001,BE2,Metadata,WAVEFORM,Undefined,,BE2,2025-12-05,2099-12-31,
2081500002,CCSI XML,Metadata,WAVEFORM,Undefined,,CCSI XML,2025-12-05,2099-12-31,
2081500003,CSV,Metadata,WAVEFORM,Undefined,,CSV,2025-12-05,2099-12-31,
2081500004,DAT,Metadata,WAVEFORM,Undefined,,DAT,2025-12-05,2099-12-31,
2081500005,Hewlett-Packard 12-lead ECG Interpretation ECL07,Metadata,WAVEFORM,Undefined,,ECL_07,2025-12-05,2099-12-31,
2081500006,Hewlett-Packard 12-lead ECG Interpretation ECL08,Metadata,WAVEFORM,Undefined,,ECL_08,2025-12-05,2099-12-31,
2081500007,Hewlett-Packard 12-lead ECG Interpretation ECL T6 ACI-TIPI,Metadata,WAVEFORM,Undefined,,ECL_T6,2025-12-05,2099-12-31,
2081500008,Hewlett-Packard 12-lead ECG Interpretation ECL T8 TPI,Metadata,WAVEFORM,Undefined,,ECL_T8,2025-12-05,2099-12-31,
2081500009,EDF,Metadata,WAVEFORM,Undefined,,EDF,2025-12-05,2099-12-31,
2081500010,GE 12-lead ECG Interpretation GE12SL,Metadata,WAVEFORM,Undefined,,GE12SL_DX,2025-12-05,2099-12-31,
2081500011,GE 12-lead ECG Measurements GE12SL,Metadata,WAVEFORM,Undefined,,GE12SL_MX,2025-12-05,2099-12-31,
2081500012,GLASGOW 12-lead ECG Interpretation,Metadata,WAVEFORM,Undefined,,GLASGOW_DX,2025-12-05,2099-12-31,
2081500013,GLASGOW 12-lead ECG Measurements GE12SL,Metadata,WAVEFORM,Undefined,,GLASGOW_MX,2025-12-05,2099-12-31,
2081500014,HDF5,Metadata,WAVEFORM,Undefined,,HDF5,2025-12-05,2099-12-31,
2081500015,HEA,Metadata,WAVEFORM,Undefined,,HEA,2025-12-05,2099-12-31,
2081500016,Hewlett-Packard 12-lead ECG Measurements 06,Metadata,WAVEFORM,Undefined,,HP_06,2025-12-05,2099-12-31,
2081500017,Hewlett-Packard 12-lead ECG Measurements 07,Metadata,WAVEFORM,Undefined,,HP_07,2025-12-05,2099-12-31,
2081500018,Hewlett-Packard 12-lead ECG Measurements 08,Metadata,WAVEFORM,Undefined,,HP_08,2025-12-05,2099-12-31,
2081500019,JSON,Metadata,WAVEFORM,Undefined,,JSON,2025-12-05,2099-12-31,
2081500020,Phillips 12-lead ECG Interpretation PH100A,Metadata,WAVEFORM,Undefined,,PH100A,2025-12-05,2099-12-31,
