concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
4158083,2081500025,Mapped from,2025-12-05,2099-12-31,
44777591,2081500029,Mapped from,2025-12-05,2099-12-31,
2081500001,2082499976,Maps to,2025-12-05,2099-12-31,
2081500002,2082499952,Maps to,2025-12-05,2099-12-31,
2081500003,2082499964,Maps to,2025-12-05,2099-12-31,
2081500004,2082499965,Maps to,2025-12-05,2099-12-31,
2081500005,2082499955,Maps to,2025-12-05,2099-12-31,
2081500006,2082499987,Maps to,2025-12-05,2099-12-31,
2081500007,2082499959,Maps to,2025-12-05,2099-12-31,
2081500008,2082499984,Maps to,2025-12-05,2099-12-31,
2081500009,2082499945,Maps to,2025-12-05,2099-12-31,
2081500010,2082499963,Maps to,2025-12-05,2099-12-31,
2081500011,2082499946,Maps to,2025-12-05,2099-12-31,
2081500012,2082499953,Maps to,2025-12-05,2099-12-31,
2081500013,2082499962,Maps to,2025-12-05,2099-12-31,
2081500014,2082499970,Maps to,2025-12-05,2099-12-31,
2081500015,2082499961,Maps to,2025-12-05,2099-12-31,
2081500016,2082499957,Maps to,2025-12-05,2099-12-31,
2081500017,2082499978,Maps to,2025-12-05,2099-12-31,
2081500018,2082499986,Maps to,2025-12-05,2099-12-31,
2081500019,2082499951,Maps to,2025-12-05,2099-12-31,
2081500020,2082499985,Maps to,2025-12-05,2099-12-31,
2081500021,2082499967,Maps to,2025-12-05,2099-12-31,
2081500022,2082499988,Maps to,2025-12-05,2099-12-31,
2081500023,2082499949,Maps to,2025-12-05,2099-12-31,
2081500024,2082499943,Maps to,2025-12-05,2099-12-31,
2081500025,4158083,Maps to,2025-12-05,2099-12-31,
2081500026,2082499974,Maps to,2025-12-05,2099-12-31,
2081500027,2082499971,Maps to,2025-12-05,2099-12-31,
2081500028,2082499972,Maps to,2025-12-05,2099-12-31,
2081500029,44777591,Maps to,2025-12-05,2099-12-31,
2081500030,2082499960,Maps to,2025-12-05,2099-12-31,
2081500031,2082499979,Maps to,2025-12-05,2099-12-31,
2081500032,2082499973,Maps to,2025-12-05,2099-12-31,
2081500033,2082499989,Maps to,2025-12-05,2099-12-31,
2081500034,2082499990,Maps to,2025-12-05,2099-12-31,
2081500035,2082499969,Maps to,2025-12-05,2099-12-31,
2081500036,2082499968,Maps to,2025-12-05,2099-12-31,
2081500037,2082499983,Maps to,2025-12-05,2099-12-31,
2081500038,2082499950,Maps to,2025-12-05,2099-12-31,
2081500039,2082499944,Maps to,2025-12-05,2099-12-31,
2081500040,2082499954,Maps to,2025-12-05,2099-12-31,
2081500041,2082499981,Maps to,2025-12-05,2099-12-31,
2081500042,2082499956,Maps to,2025-12-05,2099-12-31,
2081500043,2082499982,Maps to,2025-12-05,2099-12-31,
2081500044,2082499980,Maps to,2025-12-05,2099-12-31,
2081500045,2082499941,Maps to,2025-12-05,2099-12-31,
2081500046,2082499977,Maps to,2025-12-05,2099-12-31,
2081500047,2082499942,Maps to,2025-12-05,2099-12-31,
2081500048,2082499966,Maps to,2025-12-05,2099-12-31,
2081500049,2082499947,Maps to,2025-12-05,2099-12-31,
2081500050,2082499948,Maps to,2025-12-05,2099-12-31,
2081500051,2082499975,Maps to,2025-12-05,2099-12-31,
2081500052,2082499958,Maps to,2025-12-05,2099-12-31,
2082499941,2081500045,Mapped from,2025-12-05,2099-12-31,
2082499941,2082499941,Mapped from,2025-12-05,2099-12-31,
2082499941,2082499941,Maps to,2025-12-05,2099-12-31,
2082499942,2081500047,Mapped from,2025-12-05,2099-12-31,
2082499942,2082499942,Maps to,2025-12-05,2099-12-31,
2082499942,2082499942,Mapped from,2025-12-05,2099-12-31,
2082499943,2081500024,Mapped from,2025-12-05,2099-12-31,
2082499943,2082499943,Mapped from,2025-12-05,2099-12-31,
2082499943,2082499943,Maps to,2025-12-05,2099-12-31,
2082499944,2081500039,Mapped from,2025-12-05,2099-12-31,
2082499944,2082499944,Maps to,2025-12-05,2099-12-31,
2082499944,2082499944,Mapped from,2025-12-05,2099-12-31,
2082499945,2081500009,Mapped from,2025-12-05,2099-12-31,
2082499945,2082499945,Mapped from,2025-12-05,2099-12-31,
2082499945,2082499945,Maps to,2025-12-05,2099-12-31,
2082499946,2081500011,Mapped from,2025-12-05,2099-12-31,
2082499946,2082499946,Maps to,2025-12-05,2099-12-31,
2082499946,2082499946,Mapped from,2025-12-05,2099-12-31,
2082499947,2081500049,Mapped from,2025-12-05,2099-12-31,
2082499947,2082499947,Maps to,2025-12-05,2099-12-31,
2082499947,2082499947,Mapped from,2025-12-05,2099-12-31,
2082499948,2081500050,Mapped from,2025-12-05,2099-12-31,
2082499948,2082499948,Maps to,2025-12-05,2099-12-31,
2082499948,2082499948,Mapped from,2025-12-05,2099-12-31,
2082499949,2081500023,Mapped from,2025-12-05,2099-12-31,
2082499949,2082499949,Maps to,2025-12-05,2099-12-31,
2082499949,2082499949,Mapped from,2025-12-05,2099-12-31,
2082499950,2081500038,Mapped from,2025-12-05,2099-12-31,
2082499950,2082499950,Mapped from,2025-12-05,2099-12-31,
2082499950,2082499950,Maps to,2025-12-05,2099-12-31,
2082499951,2081500019,Mapped from,2025-12-05,2099-12-31,
2082499951,2082499951,Maps to,2025-12-05,2099-12-31,
2082499951,2082499951,Mapped from,2025-12-05,2099-12-31,
2082499952,2081500002,Mapped from,2025-12-05,2099-12-31,
