source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
BE2,2081500001,WAVEFORM,BE2,2082499976,WAVEFORM,2025-12-05,2099-12-31,
BE2,2081500001,Waveform Extension,BE2,2082499984,Waveform Extension,2025-12-05,2099-12-31,
CCSI_XML,2081500002,WAVEFORM,CCSI XML,2082499952,WAVEFORM,2025-12-05,2099-12-31,
CCSI_XML,2081500002,Waveform Extension,CCSI XML,2082499960,Waveform Extension,2025-12-05,2099-12-31,
CSV,2081500003,WAVEFORM,CSV,2082499964,WAVEFORM,2025-12-05,2099-12-31,
CSV,2081500003,Waveform Extension,CSV,2082499972,Waveform Extension,2025-12-05,2099-12-31,
DAT,2081500004,WAVEFORM,DAT,2082499965,WAVEFORM,2025-12-05,2099-12-31,
DAT,2081500004,Waveform Extension,DAT,2082499973,Waveform Extension,2025-12-05,2099-12-31,
ECL_07,2081500005,WAVEFORM,Hewlett-Packard 12-lead ECG Interpretation ECL07,2082499955,WAVEFORM,2025-12-05,2099-12-31,
ECL_07,2081500005,Waveform Extension,Hewlett-Packard 12-lead ECG Interpretation ECL07,2082499963,Waveform Extension,2025-12-05,2099-12-31,
ECL_08,2081500006,WAVEFORM,Hewlett-Packard 12-lead ECG Interpretation ECL08,2082499987,WAVEFORM,2025-12-05,2099-12-31,
ECL_08,2081500006,Waveform Extension,Hewlett-Packard 12-lead ECG Interpretation ECL08,2082499995,Waveform Extension,2025-12-05,2099-12-31,
ECL_T6,2081500007,WAVEFORM,Hewlett-Packard 12-lead ECG Interpretation ECL T6 ACI-TIPI,2082499959,WAVEFORM,2025-12-05,2099-12-31,
ECL_T6,2081500007,Waveform Extension,Hewlett-Packard 12-lead ECG Interpretation ECL T6 ACI-TIPI,2082499967,Waveform Extension,2025-12-05,2099-12-31,
ECL_T8,2081500008,WAVEFORM,Hewlett-Packard 12-lead ECG Interpretation ECL T8 TPI,2082499984,WAVEFORM,2025-12-05,2099-12-31,
ECL_T8,2081500008,Waveform Extension,Hewlett-Packard 12-lead ECG Interpretation ECL T8 TPI,2082499992,Waveform Extension,2025-12-05,2099-12-31,
EDF,2081500009,WAVEFORM,EDF,2082499945,WAVEFORM,2025-12-05,2099-12-31,
EDF,2081500009,Waveform Extension,EDF,2082499953,Waveform Extension,2025-12-05,2099-12-31,
GE12SL_DX,2081500010,WAVEFORM,GE 12-lead ECG Interpretation GE12SL,2082499963,WAVEFORM,2025-12-05,2099-12-31,
GE12SL_DX,2081500010,Waveform Extension,GE 12-lead ECG Interpretation GE12SL,2082499971,Waveform Extension,2025-12-05,2099-12-31,
GE12SL_MX,2081500011,WAVEFORM,GE 12-lead ECG Measurements GE12SL,2082499946,WAVEFORM,2025-12-05,2099-12-31,
GE12SL_MX,2081500011,Waveform Extension,GE 12-lead ECG Measurements GE12SL,2082499954,Waveform Extension,2025-12-05,2099-12-31,
GLASGOW_DX,2081500012,WAVEFORM,GLASGOW 12-lead ECG Interpretation,2082499953,WAVEFORM,2025-12-05,2099-12-31,
GLASGOW_DX,2081500012,Waveform Extension,GLASGOW 12-lead ECG Interpretation,2082499961,Waveform Extension,2025-12-05,2099-12-31,
GLASGOW_MX,2081500013,WAVEFORM,GLASGOW 12-lead ECG Measurements GE12SL,2082499962,WAVEFORM,2025-12-05,2099-12-31,
GLASGOW_MX,2081500013,Waveform Extension,GLASGOW 12-lead ECG Measurements GE12SL,2082499970,Waveform Extension,2025-12-05,2099-12-31,
HDF5,2081500014,WAVEFORM,HDF5,2082499970,WAVEFORM,2025-12-05,2099-12-31,
HDF5,2081500014,Waveform Extension,HDF5,2082499978,Waveform Extension,2025-12-05,2099-12-31,
HEA,2081500015,WAVEFORM,HEA,2082499961,WAVEFORM,2025-12-05,2099-12-31,
HEA,2081500015,Waveform Extension,HEA,2082499969,Waveform Extension,2025-12-05,2099-12-31,
HP_06,2081500016,WAVEFORM,Hewlett-Packard 12-lead ECG Measurements 06,2082499957,WAVEFORM,2025-12-05,2099-12-31,
HP_06,2081500016,Waveform Extension,Hewlett-Packard 12-lead ECG Measurements 06,2082499965,Waveform Extension,2025-12-05,2099-12-31,
HP_07,2081500017,WAVEFORM,Hewlett-Packard 12-lead ECG Measurements 07,2082499978,WAVEFORM,2025-12-05,2099-12-31,
HP_07,2081500017,Waveform Extension,Hewlett-Packard 12-lead ECG Measurements 07,2082499986,Waveform Extension,2025-12-05,2099-12-31,
HP_08,2081500018,WAVEFORM,Hewlett-Packard 12-lead ECG Measurements 08,2082499986,WAVEFORM,2025-12-05,2099-12-31,
HP_08,2081500018,Waveform Extension,Hewlett-Packard 12-lead ECG Measurements 08,2082499994,Waveform Extension,2025-12-05,2099-12-31,
JSON,2081500019,WAVEFORM,JSON,2082499951,WAVEFORM,2025-12-05,2099-12-31,
JSON,2081500019,Waveform Extension,JSON,2082499959,Waveform Extension,2025-12-05,2099-12-31,
PH100A,2081500020,WAVEFORM,Phillips 12-lead ECG Interpretation PH100A,2082499985,WAVEFORM,2025-12-05,2099-12-31,
PH100A,2081500020,Waveform Extension,Phillips 12-lead ECG Interpretation PH100A,2082499993,Waveform Extension,2025-12-05,2099-12-31,
PH100B,2081500021,WAVEFORM,Phillips 12-lead ECG Interpretation PH100B,2082499967,WAVEFORM,2025-12-05,2099-12-31,
PH100B,2081500021,Waveform Extension,Phillips 12-lead ECG Interpretation PH100B,2082499975,Waveform Extension,2025-12-05,2099-12-31,
PH100C,2081500022,WAVEFORM,Phillips 12-lead ECG Interpretation PH100C,2082499988,WAVEFORM,2025-12-05,2099-12-31,
PH100C,2081500022,Waveform Extension,Phillips 12-lead ECG Interpretation PH100C,2082499996,Waveform Extension,2025-12-05,2099-12-31,
PHILIPS_09,2081500023,WAVEFORM,Phillips 12-lead ECG Measurements 09,2082499949,WAVEFORM,2025-12-05,2099-12-31,
PHILIPS_09,2081500023,Waveform Extension,Phillips 12-lead ECG Measurements 09,2082499957,Waveform Extension,2025-12-05,2099-12-31,
PHILIPS_XML,2081500024,WAVEFORM,Philips XML,2082499943,WAVEFORM,2025-12-05,2099-12-31,
PHILIPS_XML,2081500024,Waveform Extension,Philips XML,2082499951,Waveform Extension,2025-12-05,2099-12-31,
